unified_name,broad_region,mentions,poems,counties,top_counties,top_standard_forms,top_local_forms,top_word_forms
Peter / Pietari / Peeter,Finland/Savo-Karelia,811,662,15,Pohjois-Karjala (203); Pohjois-Savo (107); Etelä-Savo (106); Etelä-Karjala (77); Varsinais-Suomi (60); Häme (55),Pietari (441); Pekka (324); Petteri (26); pekka (7); Perttu (3); Pietarin (2); Petter (2); Pekka/pekko (1); petteri (1); Perttuli (1),Pietari (337); Pekka (308); Pietar (20); Petter (17); pietari (16); Piatari (14); Petteri (13); pekka (11); pietar (5); Pekko (5),Pekka (280); Pietari (222); Pietarin (84); Pietarista (21); Pekan (21); Petteri (18); Pietariin (18); Pietar (18); Pietarille (16); Petter (10)
Peter / Pietari / Peeter,Ingria,190,149,3,Länsi-Inkeri (87); Keski-Inkeri (52); Itä- ja Pohjois-Inkeri (51),Pietari (131); Petteri (38); Pekka (9); Pietarin (5); Petro (2); Pietarista (2); Petterille (1); Petri (1),Pietari (77); Petteri (34); Petro (12); Pedro (6); Pekka (6); petterissä (3); Peio (3); Pietarissa (2); Pedru (2); petterii (2),Pietari (35); Pietarin (24); Pietariin (22); Pietarissa (16); Pietarista (12); Petteriin (12); Petterin (9); Petteristä (8); Petro (8); Petterissä (4)
Peter / Pietari / Peeter,East Karelia/Veps/Tver,256,131,5,Laatokan Karjala (Raja-Karjala) (174); Aunus (45); Viena (20); Vepsäläisalueet (10); Tveri (7),Pietari (182); Pekka (29); Petri (28); Petteri (12); Pedri (2); pekka (1); Petrus (1); Pietarista (1),Pietari (94); Petri (28); Pekka (25); Pedri (24); Petteri (9); Piiteri (6); Pietar (6); Petra (6); piedari (6); Petru (5),Pietari (63); Pietarin (43); Petri (25); Pekka (24); Pietarille (16); Pedri (13); Petteri (11); Pietarissa (6); Pietariin (6); Petra (5)
Peter / Pietari / Peeter,Other/unclear,27,22,2, (19); välismaa (8),Peeter (15); Pietari (4); Pekka (4); Peet (1); peeter (1); Petteri (1),Peeter (7); Pekka (5); Pieter (3); Pietari (3); Pietrus (1); Piitre (1); Pert (1); Peet (1); peetrikene (1); Piedari (1),Peeter (9); Peetrus (2); Peetri (2); Pekka (2); Pekalla (2); Piitre (1); Pert (1); Peedi (1); Peetrikene (1); Pietarist (1)
Martin / Mart / Märt,Estonia core/west,3257,446,8,Viljandimaa (1007); Pärnumaa (844); Tartumaa (605); Läänemaa (258); Virumaa (258); Harjumaa (131),Märt (794); Mart (529); mart (447); märt (438); mard (378); Mard (192); Märti (138); marti (82); märti (63); märd (57),Mart (517); Märti (499); mart (434); Märt (328); marti (321); märti (309); mard (284); märt (121); Mard (109); Mardi (67),Märti (652); Mart (344); marti (336); märti (326); Mardi (292); mardi (246); mart (200); mardid (184); märdi (135); Märt (113)
Martin / Mart / Märt,South Estonia/Seto,128,26,2,Võrumaa (117); Setumaa (11),Märt (100); märt (13); pääsuke (4); märti (4); Mard (3); Mardisant (1); Mardu (1); märts (1); märdi (1),märti (42); Märt (35); Märti (21); märt (13); pääsuke (4); Mard (3); Märdi (3); märdi (2); Märdike (1); Mardisand (1),Märti (64); märdi (15); Märt (9); Märdi (8); Mardi (7); märti (6); Märdil (4); pääsuke (4); mardi (2); Märdikesi (1)
Martin / Mart / Märt,Finland/Savo-Karelia,43,39,11,Etelä-Karjala (10); Pohjois-Savo (8); Kainuu (5); Pohjois-Pohjanmaa (5); Keski-Suomi (4); Etelä-Savo (3),Martti (39); Martin (3); räpäsky (1),Martti (26); Martin (10); martti (3); Martti-n (2); rääpyskä (1); Mart (1),Martin (24); Martti (14); Martinin (4); Rääpyskä (1)
Martin / Mart / Märt,Ingria,13,10,3,Länsi-Inkeri (6); Itä- ja Pohjois-Inkeri (4); Keski-Inkeri (3),Martti (13),Martti (8); Mart (2); Martin (2); Marti (1),Martti (5); Martin (4); Mart (2); Martinin (1); martin (1)
Martin / Mart / Märt,East Karelia/Veps/Tver,2,2,1,Viena (2),Martin (1); Martti (1),Martin (1); Martti-n (1),Martin (2)
Martin / Mart / Märt,Other/unclear,60,13,2, (35); välismaa (25),märti (14); Mart (12); mard (11); Märt (9); mart (5); mardi (3); märt (2); marti (2); mardikesed (1); mardu (1),märti (14); Mart (11); mard (11); Märt (9); mart (5); mardi (3); märt (2); marti (2); mardikesed (1); marsi (1),märti (14); Mart (11); mard (7); mardi (5); Mardi (5); Märt (5); mardid (4); marti (2); Märti (2); mardil (2)
Catherine / Kadri / Katri,Estonia core/west,1332,277,8,Viljandimaa (444); Pärnumaa (268); Harjumaa (129); Virumaa (123); Läänemaa (115); Tartumaa (108),Kadri (771); Katri (200); kadri (150); katri (84); kadrike (28); kadrina (25); kadr (12); Kadrina (10); Triinu (8); Kadril (7),Kadri (704); Katri (202); kadri (182); katri (96); kadrina (25); kadrikene (22); kadr (12); Kadrina (10); Kaie (9); Triinu (8),Kadri (595); Katri (200); katri (96); kadri (91); Kadril (64); kadrid (55); Kadrid (41); kadril (31); kadrina (25); Kadrile (24)
Catherine / Kadri / Katri,South Estonia/Seto,240,38,3,Võrumaa (207); Setumaa (32); Valgamaa (1),Kadri (95); kadrik (47); kadrina (44); Katri (22); kadri (14); Kati (4); kadrile (2); Kadril (2); Katre (2); katri (2),Kadri (76); kadrike (47); kadrina (44); kadri (27); katri (13); Katri (8); kadrile (2); kati (2); kadriko (2); kadrel (2),Kadri (78); Kadrike (47); kadrina (44); katri (13); Kadril (11); kadri (8); Katri (6); Katre (4); Kadrel (3); Kati (3)
Catherine / Kadri / Katri,Finland/Savo-Karelia,241,167,14,Pohjois-Karjala (43); Etelä-Karjala (40); Etelä-Savo (38); Pohjois-Pohjanmaa (23); Häme (17); Varsinais-Suomi (16),Kaisa (141); Katri (40); kaisa (27); Katriina (9); Katariina (8); kati (4); Kati (4); Kaisa+pa (2); Kaisan (1); Kaari (1),Kaisa (129); Katri (39); kaisa (29); Katariina (6); kati (6); Katriina (6); Kaija (3); Kati (3); Katri-n (2); Kaesa (2),Kaisa (117); Katri (32); Kaisan (12); kaisa (12); Kaisaa (7); Katariina (7); Katrin (5); Katriina (5); kati (4); kaisaa (3)
Catherine / Kadri / Katri,Ingria,271,112,3,Keski-Inkeri (112); Länsi-Inkeri (105); Itä- ja Pohjois-Inkeri (54),Katri (90); Kati (87); Kaisa (56); Katariina (17); Katriina (8); Katrina (3); Kadrina (2); Katrin (1); katri (1); Katri & -kka (diminutive) & -ine (comitative) (1),Kati (83); Katri (80); Kaisa (48); Katrina (18); Katriina (5); Kaisu (5); Kadrina (2); kati (2); Katariina (2); Kaiso (2),Kati (72); Katri (67); Kaisa (25); Kaisan (22); Katrina (18); Katrin (12); Katriina (9); Katin (6); Katille (4); Kaisun (3)
Catherine / Kadri / Katri,East Karelia/Veps/Tver,52,36,5,Laatokan Karjala (Raja-Karjala) (40); Viena (4); Aunus (3); Tveri (3); Vepsäläisalueet (2),Katri (20); Kaisa (18); Katariina (5); Katti (2); Kadrina (2); katri (1); kadri (1); Kateriina (1); Katja (1); kati (1),Katri (15); Kaisa (14); Kadri (2); Katti (2); kaisa (2); Kadrina (2); katri (1); Katrikka (1); kadri (1); Katerina (1),Katri (16); Kaisa (5); Kaisan (5); Kaisaksi (3); Kadri (2); Katti (2); kaisoiksi (2); Kaisat (2); Kadrina (2); Katrin (2)
Catherine / Kadri / Katri,Other/unclear,33,14,2, (23); välismaa (10),Kadri (27); Kaisa (3); Kati (2); kadrina (1),Kadri (27); Kaisa (3); Kati (2); kadrina (1),Kadri (21); Kaisa (3); kadrid (2); kadrile (2); kadrina (1); Kadrid (1); Kadril (1); Kati (1); Katale (1)
Anna / Anne / Ann / Anni,Estonia core/west,1472,789,8,Viljandimaa (350); Virumaa (249); Tartumaa (210); Pärnumaa (191); Läänemaa (134); Harjumaa (123),Anne (663); Ann (385); anne (286); Anu (25); Anna (21); Anni (12); ann (9); Änni (7); Annel (6); Annike (5),Anne (606); Ann (355); anne (224); Annekene (28); Anu (21); annekene (18); Anna (18); ann (17); anni (16); Anni (12),Anne (557); Ann (321); andeid (54); Annekene (44); Annel (42); annid (40); Annele (28); anne (25); annet (22); Anned (22)
Anna / Anne / Ann / Anni,South Estonia/Seto,123,80,2,Võrumaa (81); Setumaa (42),Ann (39); anne (38); Anne (27); Anni (4); anu (3); andis (2); andeid (2); ann (2); andja (1); Annuke (1),Ann (28); Anne (18); anni (15); anne (11); and (6); Annõ (5); Anni (4); ane (3); ann (3); anu (3),Ann (36); Anne (19); ande (14); andeid (6); annet (4); Anni (4); andi (3); andis (2); ann (2); Annukene (2)
Anna / Anne / Ann / Anni,Finland/Savo-Karelia,263,201,13,Etelä-Karjala (68); Pohjois-Karjala (42); Häme (34); Etelä-Savo (22); Kainuu (21); Peräpohjola (20),Anni (199); Anna (40); Annikki (6); anni (3); Annin (2); Annille (2); anne (2); Annika (2); anta (1); Anni-kin (1),Anni (179); Anna (36); Annin (7); Annikki (5); anni (4); Anikka (2); Annille (2); anne (2); Annikainen (2); antaa (1),Anni (137); Annin (40); Anna (28); Annille (10); Annilta (4); Annikki (4); Annun (3); Annista (3); Anike (2); anike (2)
Anna / Anne / Ann / Anni,Ingria,178,89,3,Keski-Inkeri (72); Länsi-Inkeri (65); Itä- ja Pohjois-Inkeri (41),Anni (156); Anu (7); Ann (3); anni (2); Anno (2); Anna (2); Annin (1); Annikki (1); anu (dialectal) (1); anu (1),Anni (151); Anu (7); Annin (4); anni (4); anu (2); Anninee (1); annilleen (1); Annikki (1); Annojais (1); Annoin (1),Anni (120); Annin (24); Annilta (8); Anu (7); Annille (6); Annilleen (3); Annia (1); Annikkine (1); anuni (1); Annoja (1)
