person_cluster,area_name,mentions,poems
Catherine / Kadri / Katri,Muhu,18,8
Catherine / Kadri / Katri,Mynämäki,2,2
Catherine / Kadri / Katri,Märjamaa,17,4
Catherine / Kadri / Katri,Narvusi,79,39
Catherine / Kadri / Katri,Nurmes,3,3
Catherine / Kadri / Katri,Nõo,5,1
Catherine / Kadri / Katri,Orimattila,2,2
Catherine / Kadri / Katri,Otepää,1,1
Catherine / Kadri / Katri,Oulu,1,1
Catherine / Kadri / Katri,Paistu,141,7
Catherine / Kadri / Katri,Palamuse,33,6
Catherine / Kadri / Katri,Parainen,1,1
Catherine / Kadri / Katri,Parikkala,1,1
Catherine / Kadri / Katri,Peetri,23,5
Catherine / Kadri / Katri,Perho,1,1
Catherine / Kadri / Katri,Perniö,1,1
Catherine / Kadri / Katri,Pielavesi,3,1
Catherine / Kadri / Katri,Pielisjärvi,1,1
Catherine / Kadri / Katri,Pomarkku,1,1
Catherine / Kadri / Katri,Puolanka,3,2
Catherine / Kadri / Katri,Pusula,2,1
Catherine / Kadri / Katri,Puumala,1,1
Catherine / Kadri / Katri,Pyhäjärvi Vpl.,11,1
Catherine / Kadri / Katri,Pärnu,7,2
Catherine / Kadri / Katri,Pärnu-Jaagupi,38,5
Catherine / Kadri / Katri,Põltsamaa,18,4
Catherine / Kadri / Katri,Põlva,22,4
Catherine / Kadri / Katri,Pöide,3,1
Catherine / Kadri / Katri,Pöytyä,1,1
Catherine / Kadri / Katri,Pühalepa,1,1
Catherine / Kadri / Katri,Rakvere,17,3
Catherine / Kadri / Katri,Rannu,1,1
Catherine / Kadri / Katri,Rapla,7,2
Catherine / Kadri / Katri,Repola,2,1
Catherine / Kadri / Katri,Risti,26,5
Catherine / Kadri / Katri,Rovaniemi,2,2
Catherine / Kadri / Katri,Ruameška,1,1
Catherine / Kadri / Katri,Ruotsinpyhtää,1,1
Catherine / Kadri / Katri,Ruovesi,1,1
Catherine / Kadri / Katri,Räpina,75,6
Catherine / Kadri / Katri,Rääkkylä,3,2
Catherine / Kadri / Katri,Rääpyvä,5,1
Catherine / Kadri / Katri,Rõngu,5,4
Catherine / Kadri / Katri,Rõuge,10,3
Catherine / Kadri / Katri,Saarde,3,1
Catherine / Kadri / Katri,Saarijärvi,1,1
Catherine / Kadri / Katri,Sakkola,1,1
Catherine / Kadri / Katri,Salmi,1,1
Catherine / Kadri / Katri,Sangaste,6,4
Catherine / Kadri / Katri,Sauvo,1,1
Catherine / Kadri / Katri,Savitaipale,1,1
Catherine / Kadri / Katri,Savonlinna,2,1
Catherine / Kadri / Katri,Savonranta,1,1
Catherine / Kadri / Katri,Seiskari,1,1
Catherine / Kadri / Katri,Serepetta,6,4
Catherine / Kadri / Katri,Setumaa,32,9
Catherine / Kadri / Katri,Simuna,26,4
Catherine / Kadri / Katri,Skuoritsa,1,1
Catherine / Kadri / Katri,Soanlahti,5,3
Catherine / Kadri / Katri,Sodankylä,1,1
Catherine / Kadri / Katri,Soikkola,22,11
Catherine / Kadri / Katri,Soini,3,3
Catherine / Kadri / Katri,Sonkajärvi,1,1
Catherine / Kadri / Katri,Sortavala,8,5
Catherine / Kadri / Katri,Soutjärvi,2,2
Catherine / Kadri / Katri,Suistamo,12,10
Catherine / Kadri / Katri,Suojärvi,3,2
Catherine / Kadri / Katri,Suomenniemi,1,1
Catherine / Kadri / Katri,Suomusjärvi,1,1
Catherine / Kadri / Katri,Suomussalmi,2,1
Catherine / Kadri / Katri,Suure-Jaani,17,7
Catherine / Kadri / Katri,Sääksmäki,1,1
Catherine / Kadri / Katri,Sääminki,1,1
Catherine / Kadri / Katri,Taivassalo,1,1
Catherine / Kadri / Katri,Tammela,2,2
Catherine / Kadri / Katri,Tampere,1,1
Catherine / Kadri / Katri,Tartu-Maarja,4,2
Catherine / Kadri / Katri,Tarvastu,20,8
Catherine / Kadri / Katri,Teisko,1,1
Catherine / Kadri / Katri,Terijoki,1,1
Catherine / Kadri / Katri,Tervo,1,1
Catherine / Kadri / Katri,Tohmajärvi,4,3
Catherine / Kadri / Katri,Toksova,11,4
Catherine / Kadri / Katri,Tolmačču,2,1
Catherine / Kadri / Katri,Tori,22,5
Catherine / Kadri / Katri,Torma,5,5
Catherine / Kadri / Katri,Turku,2,2
Catherine / Kadri / Katri,Tuupovaara,9,2
Catherine / Kadri / Katri,Tuutari,1,1
Catherine / Kadri / Katri,Tyrö,24,9
Catherine / Kadri / Katri,Tõstamaa,22,8
Catherine / Kadri / Katri,Türi,19,3
Catherine / Kadri / Katri,Uhtua,4,2
Catherine / Kadri / Katri,Urvaste,12,5
Catherine / Kadri / Katri,Uskela,2,2
Catherine / Kadri / Katri,Uukuniemi,5,2
Catherine / Kadri / Katri,Uusikirkko Tl.,2,2
Catherine / Kadri / Katri,Vaasa,1,1
Catherine / Kadri / Katri,Vahto,1,1
Catherine / Kadri / Katri,Vaivara,3,3
Catherine / Kadri / Katri,Valtimo,2,2
Catherine / Kadri / Katri,Varbla,11,3
Catherine / Kadri / Katri,Vastseliina,4,3
Catherine / Kadri / Katri,Venjoki,22,3
Catherine / Kadri / Katri,Veteli,1,1
Catherine / Kadri / Katri,Vieljärvi,1,1
Catherine / Kadri / Katri,Vigala,26,7
Catherine / Kadri / Katri,Viipuri,1,1
Catherine / Kadri / Katri,Viitasaari,2,2
Catherine / Kadri / Katri,Viljakkala,1,1
Catherine / Kadri / Katri,Viljandi,69,8
Catherine / Kadri / Katri,Virrat,3,1
Catherine / Kadri / Katri,Virtasalmi,1,1
Catherine / Kadri / Katri,Viru-Jaagupi,5,1
Catherine / Kadri / Katri,Viru-Nigula,5,4
Catherine / Kadri / Katri,Vuole,22,5
Catherine / Kadri / Katri,Väike-Maarja,7,2
Catherine / Kadri / Katri,Vändra,13,8
Catherine / Kadri / Katri,Värtsilä,1,1
Catherine / Kadri / Katri,Võnnu,6,3
Catherine / Kadri / Katri,Yläne,1,1
Catherine / Kadri / Katri,Äksi,6,3
Jesus / Christ,Alatornio,1,1
Jesus / Christ,Alavus,2,2
Jesus / Christ,Ambla,13,4
Jesus / Christ,Asikkala,5,3
Jesus / Christ,Brandval,4,2
Jesus / Christ,Eno,4,4
Jesus / Christ,Enontekiö,1,1
Jesus / Christ,Eräjärvi,1,1
Jesus / Christ,Evijärvi,1,1
Jesus / Christ,Fryksände,2,1
Jesus / Christ,Grue Finnskog,4,3
Jesus / Christ,Haapajärvi,1,1
Jesus / Christ,Hailuoto,3,2
Jesus / Christ,Haljala,7,7
Jesus / Christ,Halliste,2,2
Jesus / Christ,Hanila,1,1
Jesus / Christ,Hargla,1,1
Jesus / Christ,Harjavalta,1,1
Jesus / Christ,Harju-Jaani,1,1
Jesus / Christ,Hartola,6,6
Jesus / Christ,Hattula,4,4
Jesus / Christ,Hauho,7,4
Jesus / Christ,Haukipudas,2,1
Jesus / Christ,Helme,3,2
Jesus / Christ,Hietamäki,2,2
Jesus / Christ,Hiitola,1,1
Jesus / Christ,Hirvensalmi,4,2
Jesus / Christ,Huittinen,1,1
Jesus / Christ,Hämeenkyrö,1,1
Jesus / Christ,Häädemeeste,1,1
Jesus / Christ,Iisalmi,5,4
Jesus / Christ,Iitti,3,3
Jesus / Christ,Ilomantsi,58,39
Jesus / Christ,Impilahti,30,20
Jesus / Christ,Isojoki,6,4
Jesus / Christ,Isokyrö,5,4
Jesus / Christ,Jaakkima,3,2
Jesus / Christ,Jaala,2,1
Jesus / Christ,Jalasjärvi,9,5
Jesus / Christ,Jokioinen,6,5
Jesus / Christ,Joroinen,6,4
Jesus / Christ,Joutsa,2,2
Jesus / Christ,Joutseno,2,2
Jesus / Christ,Junosuvanto,1,1
Jesus / Christ,Jurva,5,5
Jesus / Christ,Juuka,6,6
Jesus / Christ,Juupajoki,2,1
Jesus / Christ,Juuru,2,1
Jesus / Christ,Juva,30,21
Jesus / Christ,Jällivaara,8,7
Jesus / Christ,Jämsä,3,3
Jesus / Christ,Jäppilä,1,1
Jesus / Christ,Järva-Jaani,2,1
Jesus / Christ,Jõelähtme,3,2
Jesus / Christ,Jõhvi,9,6
Jesus / Christ,Jüri,1,1
Jesus / Christ,Kaarma,3,1
Jesus / Christ,Kaavi,3,3
Jesus / Christ,Kadrina,18,7
Jesus / Christ,Kalajoki,2,1
Jesus / Christ,Kalvola,4,3
Jesus / Christ,Kanepi,2,1
Jesus / Christ,Kangasniemi,6,4
Jesus / Christ,Kankaanpää,3,2
Jesus / Christ,Kanneljärvi,3,2
Jesus / Christ,Kannus,1,1
Jesus / Christ,Kaprio,15,11
Jesus / Christ,Karkku,6,4
Jesus / Christ,Karksi,3,2
Jesus / Christ,Karttula,3,3
Jesus / Christ,Karula,1,1
Jesus / Christ,Karunki,1,1
Jesus / Christ,Kattila,8,4
Jesus / Christ,Kauhava,7,5
Jesus / Christ,Kaustinen,1,1
Jesus / Christ,Keitele,1,1
Jesus / Christ,Keltto,1,1
Jesus / Christ,Kemi,6,3
Jesus / Christ,Kerimäki,4,4
Jesus / Christ,Kestilä,4,1
Jesus / Christ,Kesälahti,13,7
Jesus / Christ,Kiestinki,2,2
Jesus / Christ,Kiihtelysvaara,9,6
Jesus / Christ,Kiikala,1,1
Jesus / Christ,Kiimaisjärvi,1,1
Jesus / Christ,Kitee,46,28
