person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Liigu,unmapped_possible_person_name,low,1,1,1,1,1,1,Liigu (1),Liigu (1),Liigu (1),Liigu (1),Järvamaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liika,unmapped_possible_person_name,low,1,1,1,1,1,1,Liika (1),Liika (1),Liika (1),Liika (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liikari (proper noun),unmapped_possible_person_name,low,1,1,1,1,1,1,Liikari (proper noun) (1),liikari (1),Liikarista (1),from Liikari (1),Keski-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liilo,unmapped_possible_person_name,low,1,1,1,1,1,1,Liilo (1),Liilo (1),Liilo (1),Liilo (1),Laatokan Karjala (Raja-Karjala) (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liina/Leena,unmapped_possible_person_name,low,1,1,1,1,1,1,Liina/Leena (1),Liena (1),Liena (1),Liena (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liiru,unmapped_possible_person_name,low,1,1,1,1,1,1,Liiru (1),Liiruun (ill.) (1),Liiruun (1),to Liiru (1),Etelä-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liisake,unmapped_possible_person_name,low,1,1,1,1,1,1,Liisake (1),Liisa&ke (1),Liisake (1),little Liisa (1),Tartumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liissilässä,unmapped_possible_person_name,low,1,1,1,1,1,1,Liissilässä (1),Liissiläs (1),Liissilässä (1),in Liissilä (1),Keski-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liisuke,unmapped_possible_person_name,low,1,1,1,1,1,1,Liisuke (1),Liisuke (1),Liisuke (1),Liisuke (1),Pärnumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Liisukene,unmapped_possible_person_name,low,1,1,1,1,1,1,Liisukene (1),liisukene (1),Liisukene (1),little Liisu (1),Läänemaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lillast,unmapped_possible_person_name,low,1,1,1,1,1,1,Lillast (1),Lilladesta (1),Lilladest (1),from Lilla (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lillat,unmapped_possible_person_name,low,1,1,1,1,1,1,Lillat (1),Lillat (1),Lillat (1),Lilla (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lilli+l,unmapped_possible_person_name,low,1,1,1,1,1,1,Lilli+l (1),Lilli+l (1),Lillil (1),at Lilli's (1),Harjumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lilli+le+gi,unmapped_possible_person_name,low,1,1,1,1,1,1,Lilli+le+gi (1),Lilli+le+gi (1),Lillile+gi (1),to Lilli's (1),Harjumaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Lillin,unmapped_possible_person_name,low,1,1,1,1,1,1,Lillin (1),Lillin (1),Lillin (1),Lillin (1),Etelä-Savo (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Limoinen,unmapped_possible_person_name,low,1,1,1,1,1,1,Limoinen (1),Limoinen (1),Limoisissa (1),In Limoinen (1),Keski-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
