unified_name,county,broad_region,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Jesus / Christ,Länsipohja,Finland/Savo-Karelia,18,17,3,5,Jeesus (15); Jesus (2); Kristus (1),Iesus (8); Jeesus (6); Jesus (2); Jiesus (1); Kristus (1)
Jesus / Christ,Läänemaa,Estonia core/west,14,8,4,7,Jeesus (9); Kristus (3); Jeesusesse (1); Kriste (1),Jeesus (8); Jeesusse (1); Kõrstus (1); jeesus (1); kristus (1); Kristus (1); Kriste (1)
Jesus / Christ,Keski-Suomi,Finland/Savo-Karelia,9,9,3,3,Jeesus (5); Jesus (3); Jeesuksen (1),Jeesus (4); Jesus (4); Jesuks-en (1)
Jesus / Christ,Saaremaa,Estonia core/west,6,4,1,3,Jeesus (6),Jeesus (4); iesus (1); Eesus (1)
Jesus / Christ,Ruija,Finland/Savo-Karelia,6,6,1,3,Jeesus (6),Jeesus (3); Iesus (2); jesus (1)
Jesus / Christ,välismaa,Other/unclear,5,4,2,4,Kristus (3); Jeesus (2),Kristus (2); Jeesus (1); jeesus (1); kristus (1)
Jesus / Christ,Vepsäläisalueet,East Karelia/Veps/Tver,3,2,1,2,Kristus (3),Kristus (2); Kristos (1)
Jesus / Christ,Uusimaa,Finland/Savo-Karelia,2,1,2,2,Jeesus (1); Kristus (1),Jeesus (1); Kristus (1)
John / Jaan / Jussi / Hans,Viljandimaa,Estonia core/west,402,169,20,31,Jaan (140); Hans (107); jaan (67); Ants (46); Juhan (14); jaanikene (6); jaanike (3); jään (3),Jaan (98); Hans (96); jaanike (51); Ants (45); Jaanik (25); jaanikene (21); Juhan (14); hans (9)
John / Jaan / Jussi / Hans,Pärnumaa,Estonia core/west,242,122,9,19,Jaan (135); Hans (72); Ants (19); Juhan (5); jaan (4); Jussi (3); Hants (2); Juss (1),Jaan (121); Hans (65); Ants (18); Jaanikene (7); jaani (5); jaan (4); Juhan (4); Jussi (3)
John / Jaan / Jussi / Hans,Järvamaa,Estonia core/west,227,72,8,19,Jaan (87); jaan (58); Hans (48); Juhan (17); Ants (12); Juku (2); Junnu (2); juhan (1),jaan (46); Hans (42); Jaan (39); Jaanike (35); Juhan (17); Ants (12); jaanike (12); Jaani (7)
John / Jaan / Jussi / Hans,Läänemaa,Estonia core/west,194,88,10,17,Jaan (125); Ants (32); Hans (26); hans (3); jaanike (2); Juhan (2); Juss (1); hannes (1),Jaan (119); Ants (27); Hans (23); ants (5); jaanikene (3); Jaanikene (2); hans (2); hants (2)
John / Jaan / Jussi / Hans,Tartumaa,Estonia core/west,185,106,12,18,Jaan (93); Hans (43); Ants (21); Juhan (13); Juhanile (4); jaan (3); Jussi (2); Jaska (2),Jaan (66); Hans (39); Ants (21); Juhan (13); Jaanikene (11); jaani (7); Jaaniku (6); Juhanile (4)
John / Jaan / Jussi / Hans,Harjumaa,Estonia core/west,181,101,13,25,Jaan (68); Hans (52); Ants (34); Juhan (6); Juss (5); Joan (5); Johannes (3); hans (2),Jaan (53); Hans (41); Ants (34); Hants (7); jaan (7); Juhan (6); Jussi (3); Hansu (3)
John / Jaan / Jussi / Hans,Virumaa,Estonia core/west,165,108,10,19,Jaan (62); Ants (40); Hans (37); Juhan (10); jaan (7); Annus (3); Juss (2); Jaanila (2),Jaan (56); Ants (39); Hans (30); Juhan (10); jaan (4); Hansu (3); jaani (3); Jaani (3)
John / Jaan / Jussi / Hans,Saaremaa,Estonia core/west,125,51,9,18,Jaan (65); Hans (29); Ants (15); Juhan (6); jään (6); Juku (1); hans (1); Jaanilt (1),Jaan (38); Hans (29); Ants (15); jaen (11); joaen (6); Juhan (5); joan (5); Jaen (3)
John / Jaan / Jussi / Hans,Häme,Finland/Savo-Karelia,117,98,4,6,Jussi (113); Juhani (2); Johannes (1); Jussi (name) (1),Jussi (111); Juhani (2); Johannes (1); Jussi(n) (1); Jassi (1); Jussille (1)
John / Jaan / Jussi / Hans,Varsinais-Suomi,Finland/Savo-Karelia,95,71,6,10,Jussi (85); Juhani (4); Juha (3); johanneksen (1); Johannes (1); jään (1),Jussi (82); Juhani (4); juhani (2); johannekses (1); Jusu (1); Jussis (1); Jussien (1); Johannes (1)
John / Jaan / Jussi / Hans,Võrumaa,South Estonia/Seto,74,42,10,12,Jaan (42); Ants (12); Juhan (8); Hans (5); Johannes (2); jaanike (1); Jaanile (1); Jaanil (1),Jaan (34); Ants (12); Jaani (7); Juhan (6); Hans (5); juhan (2); jaanikene (2); jaan (2)
John / Jaan / Jussi / Hans,Pohjois-Savo,Finland/Savo-Karelia,65,51,7,7,Jussi (56); Juhani (2); Juhannes (2); Jukka (2); Janne (1); Juhannes (Juhani) (1); Iivana (1),Jussi (55); Juakko (4); Juhani (2); Jussi+n (1); Janne (1); Juhannes (1); Iivana (1)
John / Jaan / Jussi / Hans,Pohjois-Karjala,Finland/Savo-Karelia,64,52,6,10,Jussi (48); Johannes (5); Juhani (4); Iivana (4); Juhana (2); Juho (1),Jussi (46); Iivana (4); Johannes (3); Junn(i) (3); Juhana (3); Jussiv (1); Juhka (1); Juho (1)
John / Jaan / Jussi / Hans,,Other/unclear,62,31,10,13,Hans (27); Jaan (25); Ants (2); Juhan (2); jussi (1); Juss (1); jaan (1); Hannus (1),Hans (27); Jaan (12); jani (10); Jussi (2); Ants (2); Juhan (2); jussi (1); jaan (1)
John / Jaan / Jussi / Hans,Satakunta,Finland/Savo-Karelia,56,54,5,6,Jussi (52); Jaana (1); juhani (1); Juhani (1); Johannes (1),Jussi (51); jaana (1); johan (1); Juhani (1); jussi (1); Johannes (1)
John / Jaan / Jussi / Hans,Etelä-Savo,Finland/Savo-Karelia,49,42,4,6,Jussi (46); Juhani (1); Iivana (1); Johannes (1),Jussi (43); Jutas (2); Johan (1); Iitam (1); Johannes (1); jussim (1)
John / Jaan / Jussi / Hans,Etelä-Karjala,Finland/Savo-Karelia,46,36,2,6,Jussi (45); Juhana (1),Jussi (41); Jassi (1); Juhana (1); Jusse (1); jussi (1); Jussikko-kin (1)
John / Jaan / Jussi / Hans,Etelä-Pohjanmaa,Finland/Savo-Karelia,41,38,4,3,Jussi (38); Juhana (1); Johannes (1); Juha (1),Jussi (39); Johannekselta (1); Juha (1)
John / Jaan / Jussi / Hans,Uusimaa,Finland/Savo-Karelia,24,19,4,4,Jussi (19); Hans (2); jänis (2); Jussin (1),Jussi (19); Hanssu (2); jussi (2); Jussis (1)
John / Jaan / Jussi / Hans,Keski-Suomi,Finland/Savo-Karelia,23,22,2,3,Jussi (20); Johannes (3),Jussi (20); Juhannes (2); Johannes (1)
