person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Martin / Mart / Märt,Other,South Estonia/Seto,8,0.0022837567799029405,0.03125
Martin / Mart / Märt,Other,Finland/Savo-Karelia,1,0.00028546959748786756,0.00390625
Martin / Mart / Märt,Other,Ingria,0,0.0,0.0
Martin / Mart / Märt,Other,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Other,Other/unclear,4,0.0011418783899514702,0.015625
Catherine / Kadri / Katri,Kadri,Estonia core/west,921,0.42461964038727523,0.8705103969754253
Catherine / Kadri / Katri,Kadri,South Estonia/Seto,109,0.05025357307514984,0.10302457466918714
Catherine / Kadri / Katri,Kadri,Finland/Savo-Karelia,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,Ingria,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,East Karelia/Veps/Tver,1,0.0004610419548178884,0.000945179584120983
Catherine / Kadri / Katri,Kadri,Other/unclear,27,0.012448132780082987,0.02551984877126654
Catherine / Kadri / Katri,Katri,Estonia core/west,284,0.13093591516828032,0.6173913043478261
Catherine / Kadri / Katri,Katri,South Estonia/Seto,24,0.011065006915629323,0.05217391304347826
Catherine / Kadri / Katri,Katri,Finland/Savo-Karelia,40,0.018441678192715538,0.08695652173913043
Catherine / Kadri / Katri,Katri,Ingria,91,0.041954817888427844,0.19782608695652174
Catherine / Kadri / Katri,Katri,East Karelia/Veps/Tver,21,0.009681881051175657,0.04565217391304348
Catherine / Kadri / Katri,Katri,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Estonia core/west,1,0.0004610419548178884,0.0040650406504065045
Catherine / Kadri / Katri,Kaisa,South Estonia/Seto,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Finland/Savo-Karelia,168,0.07745504840940526,0.6829268292682927
Catherine / Kadri / Katri,Kaisa,Ingria,56,0.02581834946980175,0.22764227642276422
Catherine / Kadri / Katri,Kaisa,East Karelia/Veps/Tver,18,0.008298755186721992,0.07317073170731707
