county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Laatokan Karjala (Raja-Karjala),vassileini,1,1,1,1,vassileini (1),vassileini (1)
Laatokan Karjala (Raja-Karjala),Äkräs (hypothetical),1,1,1,1,Äkräs (hypothetical) (1),Ägröi (1)
Laatokan Karjala (Raja-Karjala),ägröi,1,1,1,1,ägröi (1),ägröi (1)
Länsi-Inkeri,God / Jumala / Jumal,1115,535,38,108,Jumala (346); luoja (264); herra (215); jumala (88); Luoja (72); Luojan (26); jumalainen (20); Herra (15),Jumala (239); luoja (224); herra (178); jumala (124); Luoja (58); Looja (21); herran (15); jumalainen (15)
Länsi-Inkeri,Mary / Maria / Maarja / Mari,455,196,20,48,Maija (206); Maaria (83); Maria (58); Mari (48); maija (26); Marja/Mari (6); Marja (4); Marian (3),Maija (113); Maaria (85); maija (44); Mari (43); Maije (35); Maria (16); Maie (16); maaria (9)
Länsi-Inkeri,Kalev / Kalervo,141,71,7,27,Kalervo (135); Kalervalainen (1); Kalervoinen (1); Kalervo-lainen (1); Kalervon (1); Kalerva (1); Kalervolainen (1),Kalervo (96); kalervoin (8); Kalerva (5); kalervoja (3); kalervo (3); kalervoill (2); kalervoi (2); Kalervo(n) (2)
Länsi-Inkeri,Jesus / Christ,130,65,6,23,Jeesus (88); Jesus (23); Kristus (15); Jeesuksen (2); Isus (1); Hristos (1),Jeesus (45); Jesus (23); Iesus (12); Kristus (9); Kiesus (9); Jeesukse (4); iesus (3); Jiesus (3)
Länsi-Inkeri,Ukko,130,83,4,17,ukko (122); Ukko (6); ukot (1); uksi (1),ukko (105); Ukko (6); uukko (5); öpo (1); ukod (1); ukkoni (1); ukko-kkina (1); ukot (1)
Länsi-Inkeri,Tuoni,116,48,3,10,Tuoni (106); tuoni (9); Tuonen (1),Tuoni (87); tuoni (11); Tuonelta (5); Tuonen (3); Toonen (3); Toonelta (2); tuonen (2); tuoni- (1)
Länsi-Inkeri,Catherine / Kadri / Katri,105,53,8,18,Kati (39); Kaisa (30); Katri (23); Katariina (6); Katriina (3); Kadrina (2); katri (1); Katri & -kka (diminutive) & -ine (comitative) (1),Kati (35); Kaisa (23); Katri (21); Kaisu (4); Katrina (4); Katriina (3); Kadrina (2); Kaiso (2)
Länsi-Inkeri,Peter / Pietari / Peeter,87,61,6,25,Pietari (50); Petteri (27); Pietarin (5); Pekka (3); Petro (1); Petterille (1),Petteri (23); Pietari (17); Petro (11); Pedro (6); petterissä (3); Peio (3); Pedru (2); petterii (2)
Länsi-Inkeri,Matthew / Matti,72,39,5,6,Matti (58); matti (11); mutti (1); mätti (1),Matti (53); matti (13); Matis (2); mutti (2); mätti (1)
Länsi-Inkeri,Anna / Anne / Ann / Anni,65,38,9,9,Anni (52); Anu (5); anni (2); Ann (1); Annin (1); Annikki (1); anu (dialectal) (1); anu (1),Anni (49); Anu (5); anni (3); Annin (2); anu (2); Anninee (1); annilleen (1); Annikki (1)
Länsi-Inkeri,Untamo,59,16,1,17,Untamo (59),Untamo (28); Untoi (12); unttarin (3); untoi (2); Untroi (2); Unnoiks (1); Unteriks (1); unttarill (1)
Länsi-Inkeri,Unto,50,19,1,5,Unto (50),Unto (42); Untoi (4); Unnoi (2); Unnolta (1); Unnolt (1)
Länsi-Inkeri,Hekko,46,9,1,9,Hekko (46),Hekko (30); hekkoi (7); Heko(in) (2); hekoin (2); Heko(n) (1); hekoiksi (1); hekkojaan (1); hekkojaas (1)
Länsi-Inkeri,(proper noun),35,11,1,17,(proper noun) (35),Hekko (10); Palaga (5); Osmero (3); Ignat (2); Kaarassa (2); Kojo (2); (proper noun) (1); Nasto (1)
Länsi-Inkeri,Väinämöinen,30,14,2,9,Väinämöinen (29); Väinämöinen (via metathesis) (1),Väinämöinen (11); Väinämöin (4); Väinimöinen (4); väinöväin (3); Väinämöi (3); Väinämöine (2); Väinimöiseltä (1); Väzmärö (1)
Länsi-Inkeri,Turo,24,8,1,5,Turo (24),Turo (12); Turoi (8); tuuroin (2); turoin (1); turo (1)
Länsi-Inkeri,Elizabeth / Liisa / Liisu / Elli,23,19,3,4,Elina (16); Liisa (6); Elli (1),Elina (16); Liisa (5); Elli (1); liisan (1)
Länsi-Inkeri,(proper name),19,5,1,10,(proper name) (19),Kalervikko (4); Ismaroi (3); Unnoi (3); Venka (2); miira-n (2); Kukkuira (1); Hekko (1); Untamo (1)
Länsi-Inkeri,Tuuteri,19,11,1,2,Tuuteri (19),Tuuteri (18); tuuterissa (1)
Länsi-Inkeri,Maije,17,3,1,1,Maije (17),Maije (17)
Länsi-Inkeri,Vello,17,8,1,1,Vello (17),Vello (17)
Länsi-Inkeri,Andrew / Antti,16,8,3,5,Antti (14); Antille (1); Andrei (1),Antti (8); antillee (3); Antrus (2); antti (2); Ondrei (1)
Länsi-Inkeri,Michael / Mikko / Mihkel,15,11,3,8,Mikko (13); Mikkoon (1); Mikael (1),Mikko (6); Mikkeli (3); Mikko+laan (1); Mio (1); Miittoi (1); miko (1); Mikku (1); Mikael (1)
Länsi-Inkeri,(name),14,6,1,9,(name) (14),Ismaro (3); Virpoi (2); Hekko (2); Palaga (2); Virro (1); Unto (1); Maije (1); Naastoi (1)
Länsi-Inkeri,(none),14,1,1,1,(none) (14),Hekko (14)
Länsi-Inkeri,John / Jaan / Jussi / Hans,14,10,3,6,Iivana (11); Juhana (2); Juhani (1),Iivana (7); Iivaana (3); Jaani (1); Juhana (1); J:lan (1); Ivaana (1)
Länsi-Inkeri,Eve / Eeva,11,7,1,1,Eeva (11),Eeva (11)
Länsi-Inkeri,Maijo,11,1,1,1,Maijo (11),Maijo (11)
Länsi-Inkeri,Thomas / Toomas / Tuomas,11,6,1,3,Tuomas (11),Tuomas (8); tuomas (2); toomus (1)
Länsi-Inkeri,Ilmarinen,10,7,1,4,Ilmarinen (10),Ilmarinen (4); Ismaroinen (3); Ilmaroinen (2); Ilmaroi (1)
Länsi-Inkeri,Jyrki,10,9,1,1,Jyrki (10),Jyrki (10)
Länsi-Inkeri,Simon / Siim / Simo,9,7,1,2,Simo (9),Simo (8); simmo (1)
Länsi-Inkeri,Venna,9,2,1,1,Venna (9),Venna (9)
Länsi-Inkeri,George / Jüri,8,7,4,3,Yrjö (4); Jyrki (2); Jyri (1); jyri (1),Jyrki (6); Jyri (1); jyri (1)
Länsi-Inkeri,Henry / Heikki,8,6,3,6,Henrik (4); Heikki (3); Hekko (1),Heikki (3); Hekko (1); Hindrikko (1); Hindrik (1); Hindrikka (1); Henrik (1)
Länsi-Inkeri,Konnu,8,4,1,1,Konnu (8),Konnu (8)
Länsi-Inkeri,Ignat,7,3,1,3,Ignat (7),ignatta (5); Ignatta (1); Ignat (1)
Länsi-Inkeri,Kalervikko,7,5,1,1,Kalervikko (7),Kalervikko (7)
Länsi-Inkeri,Koijonen,7,2,1,2,Koijonen (7),koijoisen (5); Koijoisen (2)
Länsi-Inkeri,Lauri,7,7,1,1,Lauri (7),Lauri (7)
Länsi-Inkeri,Nicholas / Nikka / Klaus,7,5,3,3,Nikko (5); Nikolaus (1); nikka (1),Nikko (5); Miikkula (1); nikka (1)
Länsi-Inkeri,Jacob / Jaak / Jaakko,6,6,2,5,Jaakko (5); jaakko (1),Jaakko (2); Jaa (1); Jaakop (1); Jaani (1); jaakko (1)
Länsi-Inkeri,Kalerva,6,5,1,1,Kalerva (6),Kalerva (6)
Länsi-Inkeri,Kuuttari,6,3,1,1,Kuuttari (6),Kuuttari (6)
Länsi-Inkeri,Martin / Mart / Märt,6,4,1,4,Martti (6),Mart (2); Martin (2); Martti (1); Marti (1)
Länsi-Inkeri,Virro,6,5,1,1,Virro (6),Virro (6)
Länsi-Inkeri,Antrus,5,1,1,1,Antrus (5),Antrus (5)
Länsi-Inkeri,Heko,5,1,1,1,Heko (5),Heko (5)
Länsi-Inkeri,Hekojen,5,1,1,1,Hekojen (5),hekoin (5)
Länsi-Inkeri,Kojonen,5,4,1,3,Kojonen (5),Kojonen (3); Kojjoinen (1); Kojosen (1)
Länsi-Inkeri,Kullervo,5,5,1,2,Kullervo (5),Kullervo (4); Kulerva (1)
Länsi-Inkeri,Lilla,5,1,1,1,Lilla (5),Lilla (5)
Länsi-Inkeri,Marini,5,2,1,1,Marini (5),Marini (5)
Länsi-Inkeri,Paatitsa,5,5,1,1,Paatitsa (5),Paatitsa (5)
Länsi-Inkeri,Sarah / Saara,5,3,2,2,Saara (4); saara (1),Saara (4); sara (1)
Länsi-Inkeri,Tormio,5,5,1,1,Tormio (5),Tormio (5)
Länsi-Inkeri,Ahti,4,3,2,3,Ahti (3); ahti (1),Ohto (2); aahki (1); Ahti (1)
Länsi-Inkeri,Aino,4,3,1,2,Aino (4),Aino (3); ainolle (1)
Länsi-Inkeri,Iivana,4,2,1,2,Iivana (4),Iivana(n) (2); Iivana (2)
Länsi-Inkeri,Ismaro,4,3,1,1,Ismaro (4),Ismaro (4)
Länsi-Inkeri,Kasteri,4,3,1,4,Kasteri (4),Kasteri (1); Kasteri-n (1); Kasteri+n (1); Kasteri+sen (1)
Länsi-Inkeri,Marjukka,4,4,1,2,Marjukka (4),Marjukka (3); marjukkaine (1)
Länsi-Inkeri,Tuura,4,1,1,1,Tuura (4),Tuura (4)
Länsi-Inkeri,Annikka,3,3,1,1,Annikka (3),Annikka (3)
Länsi-Inkeri,Anterus,3,1,1,1,Anterus (3),Anterus (3)
Länsi-Inkeri,Elias / Eljas,3,2,2,2,Elija (2); Elias (1),Iiliä (2); Iilia (1)
Länsi-Inkeri,Eva,3,2,1,1,Eva (3),Eva (3)
Länsi-Inkeri,Halli,3,1,1,1,Halli (3),Halli (3)
Länsi-Inkeri,Kaarasta,3,3,1,2,Kaarasta (3),Kaarasta (2); Kaarastaa (1)
Länsi-Inkeri,Kojoinen,3,1,1,1,Kojoinen (3),Kojoinen (3)
Länsi-Inkeri,Korkko,3,1,1,1,Korkko (3),Korkko (3)
Länsi-Inkeri,Kurjuu,3,1,1,1,Kurjuu (3),Kurjuu (3)
Länsi-Inkeri,Luuska,3,3,1,1,Luuska (3),Luuska (3)
Länsi-Inkeri,Luutitsa,3,3,1,1,Luutitsa (3),Luutitsa (3)
Länsi-Inkeri,Mannu,3,2,1,2,Mannu (3),Mannun (2); Mannu (1)
Länsi-Inkeri,Marina,3,2,1,1,Marina (3),Marina (3)
Länsi-Inkeri,Martti,3,3,1,2,Martti (3),Martti (2); marti(kkene) (1)
Länsi-Inkeri,Peijooni,3,1,1,1,Peijooni (3),Peijo (3)
Länsi-Inkeri,Tahvo (name),3,1,1,1,Tahvo (name) (3),Tahvana (3)
Länsi-Inkeri,Tormi,3,3,1,1,Tormi (3),Tormi (3)
Länsi-Inkeri,Tupina,3,1,1,1,Tupina (3),Tupina (3)
Länsi-Inkeri,Untamon,3,1,1,2,Untamon (3),Untamo-n (2); Untuma-n (1)
Länsi-Inkeri,Väinö,3,2,1,1,Väinö (3),Väinö (3)
Länsi-Inkeri,(place name),2,1,1,1,(place name) (2),Kaarasa (2)
Länsi-Inkeri,Aine,2,2,1,1,Aine (2),Aine (2)
Länsi-Inkeri,Filippa,2,2,1,2,Filippa (2),Vilippa (1); Filippa (1)
Länsi-Inkeri,Hekko+ni,2,1,1,1,Hekko+ni (2),Hekko+ni (2)
Länsi-Inkeri,Hekon,2,1,1,1,Hekon (2),hekkoi (2)
Länsi-Inkeri,Huobri,2,1,1,1,Huobri (2),Huobri (2)
Länsi-Inkeri,Ignatius,2,1,1,1,Ignatius (2),Ignatta (2)
Länsi-Inkeri,Ihalmo,2,1,1,1,Ihalmo (2),Ihalmo (2)
Länsi-Inkeri,Iivoilinna,2,2,1,2,Iivoilinna (2),Iivoilinna (1); Iivoi-linna (1)
Länsi-Inkeri,Iro,2,1,1,1,Iro (2),Iro (2)
Länsi-Inkeri,Ivana,2,2,1,1,Ivana (2),Ivana (2)
Länsi-Inkeri,Joukamoinen / Joukahainen,2,1,1,1,Joukahainen (2),Iukamoine (2)
Länsi-Inkeri,Julia,2,1,1,1,Julia (2),Julia (2)
Länsi-Inkeri,Kaarasa,2,1,1,1,Kaarasa (2),Kaarasa (2)
Länsi-Inkeri,Kaarosta,2,1,1,1,Kaarosta (2),Kaarosta (2)
Länsi-Inkeri,Kadriina,2,1,1,1,Kadriina (2),Kadriina (2)
Länsi-Inkeri,Katriina,2,1,1,1,Katriina (2),Katriina (2)
Länsi-Inkeri,Kavvan,2,1,1,1,Kavvan (2),Kavvan (2)
Länsi-Inkeri,Kiiskala,2,2,1,1,Kiiskala (2),Kiiskala (2)
Länsi-Inkeri,Kirimo,2,1,1,1,Kirimo (2),Kirimo (2)
Länsi-Inkeri,Kirsti,2,2,1,1,Kirsti (2),Kirsti (2)
Länsi-Inkeri,Kulerva,2,1,1,1,Kulerva (2),Kulerva (2)
Länsi-Inkeri,Kuuttarma,2,1,1,1,Kuuttarma (2),Kuuttarma (2)
Länsi-Inkeri,Laukaha,2,1,1,2,Laukaha (2),Laukahasse (Laukaha) (1); Laukahasta (Laukaha) (1)
Länsi-Inkeri,Lilli,2,2,1,2,Lilli (2),lilla (1); Lilli (1)
Länsi-Inkeri,Marja,2,1,1,1,Marja (2),Marjo (2)
Länsi-Inkeri,Miira,2,1,1,1,Miira (2),Miira (2)
Länsi-Inkeri,Moskova,2,2,1,1,Moskova (2),Moskova (2)
Länsi-Inkeri,Mottu,2,1,1,1,Mottu (2),Mottu (2)
Länsi-Inkeri,Ohto,2,2,1,1,Ohto (2),Ohto (2)
Länsi-Inkeri,Paro,2,1,1,1,Paro (2),Paro (2)
Länsi-Inkeri,Pietteri,2,1,1,1,Pietteri (2),Pietteri (2)
Länsi-Inkeri,Pirkko,2,2,1,2,Pirkko (2),Piri (1); Pirkko (1)
Länsi-Inkeri,Sasa,2,1,1,1,Sasa (2),Sasa+ni (2)
Länsi-Inkeri,Sinna (prop.n.),2,1,1,1,Sinna (prop.n.) (2),Sinna (prop.n.) (2)
Länsi-Inkeri,Sohvi,2,2,1,2,Sohvi (2),sohvialle (1); Sohvi (1)
Länsi-Inkeri,Säätilä,2,1,1,2,Säätilä (2),Säätilä (1); Sätil (1)
Länsi-Inkeri,Tobias,2,2,1,1,Tobias (2),Tobjas (2)
Länsi-Inkeri,Topi,2,2,1,1,Topi (2),Topi (2)
Länsi-Inkeri,Turoi,2,2,1,1,Turoi (2),Turoi (2)
Länsi-Inkeri,Tuuter & maa,2,1,1,1,Tuuter & maa (2),tuutermaaha (2)
Länsi-Inkeri,Unnon,2,2,1,2,Unnon (2),Unno-n (1); Unto-n (1)
Länsi-Inkeri,Vappo,2,1,1,1,Vappo (2),Vappo (2)
Länsi-Inkeri,Venaa,2,1,1,1,Venaa (2),Venaa (2)
Länsi-Inkeri,Viljo,2,1,1,1,Viljo (2),Viljo (2)
Länsi-Inkeri,Virpo,2,1,1,1,Virpo (2),Virpo (2)
Länsi-Inkeri,Ylly,2,1,1,1,Ylly (2),Ylly (2)
Länsi-Inkeri,millä,2,1,1,1,millä (2),mi+llä (2)
Länsi-Inkeri,sopo,2,1,1,2,sopo (2),sopoille (1); sopoi (1)
Länsi-Inkeri,vello,2,1,1,1,vello (2),vello (2)
Länsi-Inkeri,(name)+rikkoa,1,1,1,1,(name)+rikkoa (1),Ruikko+rikkoa (1)
Länsi-Inkeri,(name?),1,1,1,1,(name?) (1),vello (1)
Länsi-Inkeri,(place),1,1,1,1,(place) (1),Muurame (1)
Länsi-Inkeri,Aili,1,1,1,1,Aili (1),Aili (1)
Länsi-Inkeri,Alli,1,1,1,1,Alli (1),Alli (1)
Länsi-Inkeri,Andro,1,1,1,1,Andro (1),Andro (1)
Länsi-Inkeri,Andrus,1,1,1,1,Andrus (1),Andrus (1)
Länsi-Inkeri,Annikki,1,1,1,1,Annikki (1),Annikkine (1)
Länsi-Inkeri,Annu,1,1,1,1,Annu (1),Annu (1)
Länsi-Inkeri,Antero,1,1,1,1,Antero (1),Antero (1)
Länsi-Inkeri,Antrus (proper noun),1,1,1,1,Antrus (proper noun) (1),Antrus (1)
Länsi-Inkeri,Antso,1,1,1,1,Antso (1),Antso (1)
Länsi-Inkeri,Aret,1,1,1,1,Aret (1),Aret (1)
Länsi-Inkeri,Arkkippa (hypocoristic),1,1,1,1,Arkkippa (hypocoristic) (1),Archippa-ni (1)
Länsi-Inkeri,Dvinales,1,1,1,1,Dvinales (1),Dvinales (1)
Länsi-Inkeri,Exportles,1,1,1,1,Exportles (1),Exportles (1)
Länsi-Inkeri,Fadja,1,1,1,1,Fadja (1),Fadja (1)
Länsi-Inkeri,Gavril,1,1,1,1,Gavril (1),Gauril (1)
Länsi-Inkeri,Haapio,1,1,1,1,Haapio (1),Haapio (1)
Länsi-Inkeri,Haavikko,1,1,1,1,Haavikko (1),Haavikko (1)
Länsi-Inkeri,Harjavalla,1,1,1,1,Harjavalla (1),Harjavalla (1)
Länsi-Inkeri,Heikko,1,1,1,1,Heikko (1),Heikko (1)
Länsi-Inkeri,Hekkoa,1,1,1,1,Hekkoa (1),hekkoo (1)
Länsi-Inkeri,Hekku,1,1,1,1,Hekku (1),Hekku (1)
Länsi-Inkeri,Hekoilta,1,1,1,1,Hekoilta (1),hekoilta (1)
Länsi-Inkeri,Hemmo,1,1,1,1,Hemmo (1),Hemmo (1)
Länsi-Inkeri,Hetu,1,1,1,1,Hetu (1),Hetu (1)
Länsi-Inkeri,Hunto,1,1,1,1,Hunto (1),Hunto (1)
Länsi-Inkeri,Iittova,1,1,1,1,Iittova (1),Iittova (1)
Länsi-Inkeri,Iiverikko,1,1,1,1,Iiverikko (1),Iiverikko (1)
Länsi-Inkeri,Iljas,1,1,1,1,Iljas (1),Iljas (1)
Länsi-Inkeri,Iljasta,1,1,1,1,Iljasta (1),Iljasta (1)
Länsi-Inkeri,Iriska,1,1,1,1,Iriska (1),Iriska (1)
Länsi-Inkeri,Ismarat,1,1,1,1,Ismarat (1),Ismarat (1)
Länsi-Inkeri,Ivan,1,1,1,1,Ivan (1),Ivan (1)
Länsi-Inkeri,Joel,1,1,1,1,Joel (1),Joel (1)
Länsi-Inkeri,Jortana,1,1,1,1,Jortana (1),Jortana (1)
Länsi-Inkeri,Jortanainen,1,1,1,1,Jortanainen (1),jortanainen (1)
Länsi-Inkeri,Judas / Juudas,1,1,1,1,Juudas (1),Juudas (1)
Länsi-Inkeri,Kaara,1,1,1,1,Kaara (1),kaaran (1)
Länsi-Inkeri,Kaarela,1,1,1,1,Kaarela (1),Kaarela (1)
Länsi-Inkeri,Kaari,1,1,1,1,Kaari (1),Kaari-sta (1)
Länsi-Inkeri,Kabriota,1,1,1,1,Kabriota (1),Kabriota (1)
Länsi-Inkeri,Kaino,1,1,1,1,Kaino (1),Kaino (1)
Länsi-Inkeri,Kaipaala,1,1,1,1,Kaipaala (1),Kaipaala (1)
Länsi-Inkeri,Kalervikko (proper noun),1,1,1,1,Kalervikko (proper noun) (1),Kalervikko (1)
Länsi-Inkeri,Kalervu,1,1,1,1,Kalervu (1),Kalervu (1)
Länsi-Inkeri,Kamppuli,1,1,1,1,Kamppuli (1),Kamppuli (1)
Länsi-Inkeri,Kandrätti,1,1,1,1,Kandrätti (1),Kandrätti (1)
Länsi-Inkeri,Karne,1,1,1,1,Karne (1),Karne (1)
Länsi-Inkeri,Karpalo,1,1,1,1,Karpalo (1),Karpalo (1)
Länsi-Inkeri,Karpan,1,1,1,1,Karpan (1),Karpan (1)
Länsi-Inkeri,Kaspari,1,1,1,1,Kaspari (1),Kaspari (1)
Länsi-Inkeri,Kastari,1,1,1,1,Kastari (1),Kastari (1)
Länsi-Inkeri,Kasterinen,1,1,1,1,Kasterinen (1),Kasterinen (1)
Länsi-Inkeri,Kateriina,1,1,1,1,Kateriina (1),Kateriina (1)
Länsi-Inkeri,Katto,1,1,1,1,Katto (1),Kattu (1)
Länsi-Inkeri,Kauko,1,1,1,1,Kauko (1),Kauvo (1)
Länsi-Inkeri,Kerttu,1,1,1,1,Kerttu (1),Kerttu (1)
Länsi-Inkeri,Kirssu,1,1,1,1,Kirssu (1),Kirssu (1)
Länsi-Inkeri,Klimu,1,1,1,1,Klimu (1),Klimu (1)
Länsi-Inkeri,Kolkapääjoki,1,1,1,1,Kolkapääjoki (1),Kolkapääjoki (1)
Länsi-Inkeri,Kompi,1,1,1,1,Kompi (1),Kompi (1)
Länsi-Inkeri,Kompi-Konnu,1,1,1,1,Kompi-Konnu (1),Kompi-Konnu (1)
Länsi-Inkeri,Konnas,1,1,1,1,Konnas (1),Konnas (1)
Länsi-Inkeri,Kuippana,1,1,1,1,Kuippana (1),Kuippanan (1)
Länsi-Inkeri,Kuisma,1,1,1,1,Kuisma (1),Kuizma (1)
Länsi-Inkeri,Kukkus,1,1,1,1,Kukkus (1),Kukkus (1)
Länsi-Inkeri,Kukkusi,1,1,1,1,Kukkusi (1),Kukkusi (1)
Länsi-Inkeri,Kulervo,1,1,1,1,Kulervo (1),Kulervan (1)
Länsi-Inkeri,Kunna,1,1,1,1,Kunna (1),Kunnu (1)
Länsi-Inkeri,Kurgola,1,1,1,1,Kurgola (1),Kurgola (1)
Länsi-Inkeri,Kurkola,1,1,1,1,Kurkola (1),Kurkola (1)
Länsi-Inkeri,Kusto,1,1,1,1,Kusto (1),Kusto (1)
Länsi-Inkeri,Kutra,1,1,1,1,Kutra (1),Kutra (1)
Länsi-Inkeri,Kuzma,1,1,1,1,Kuzma (1),Kuzma (1)
Länsi-Inkeri,Laslavitta,1,1,1,1,Laslavitta (1),Laslavitta (1)
Länsi-Inkeri,Laukahas,1,1,1,1,Laukahas (1),Laukahas (1)
Länsi-Inkeri,Laukkia,1,1,1,1,Laukkia (1),Laukkia (1)
Länsi-Inkeri,Luise,1,1,1,1,Luise (1),Luise (1)
Länsi-Inkeri,Lusi,1,1,1,1,Lusi (1),Lusi (1)
Länsi-Inkeri,Lutikanmaa,1,1,1,1,Lutikanmaa (1),Lutikanmaa (1)
Länsi-Inkeri,Luusa,1,1,1,1,Luusa (1),Luusasta (1)
Länsi-Inkeri,Maijatytär,1,1,1,1,Maijatytär (1),Maijetytär (1)
Länsi-Inkeri,Mairue,1,1,1,1,Mairue (1),Mairue (1)
Länsi-Inkeri,Malle,1,1,1,1,Malle (1),Malle (1)
Länsi-Inkeri,Mannakka,1,1,1,1,Mannakka (1),Mannakka+a (1)
Länsi-Inkeri,Mannun,1,1,1,1,Mannun (1),Mannun (1)
Länsi-Inkeri,Maretta,1,1,1,1,Maretta (1),Maretta (1)
Länsi-Inkeri,Marjut,1,1,1,1,Marjut (1),Marjut (1)
Länsi-Inkeri,Markus,1,1,1,1,Markus (1),Markus (1)
Länsi-Inkeri,Matinkylä,1,1,1,1,Matinkylä (1),mativei (1)
Länsi-Inkeri,Miikkola,1,1,1,1,Miikkola (1),Miikkola (1)
Länsi-Inkeri,Miikkula,1,1,1,1,Miikkula (1),Miikkula (1)
Länsi-Inkeri,Mitra,1,1,1,1,Mitra (1),Mitra (1)
Länsi-Inkeri,Molloo (toponym),1,1,1,1,Molloo (toponym) (1),mollo (1)
Länsi-Inkeri,Molot,1,1,1,1,Molot (1),Molot (1)
Länsi-Inkeri,Musko,1,1,1,1,Musko (1),Musko (1)
Länsi-Inkeri,Naasta,1,1,1,1,Naasta (1),Naasta (1)
Länsi-Inkeri,Naastas,1,1,1,1,Naastas (1),Naastas (1)
Länsi-Inkeri,Nasta,1,1,1,1,Nasta (1),Nasta (1)
Länsi-Inkeri,Nesperi,1,1,1,1,Nesperi (1),Nesperi (1)
Länsi-Inkeri,Nesteri,1,1,1,1,Nesteri (1),Nesteri (1)
Länsi-Inkeri,Nikolai,1,1,1,1,Nikolai (1),Nikolai (1)
Länsi-Inkeri,Ojabril,1,1,1,1,Ojabril (1),Ojabril (1)
Länsi-Inkeri,Olkomoisio,1,1,1,1,Olkomoisio (1),Olkomoisio (1)
Länsi-Inkeri,Ossa,1,1,1,1,Ossa (1),Ossa (1)
Länsi-Inkeri,Oute,1,1,1,1,Oute (1),Oute (1)
Länsi-Inkeri,Outi,1,1,1,1,Outi (1),Oute (1)
Länsi-Inkeri,Outi (proper noun),1,1,1,1,Outi (proper noun) (1),Oute (1)
Länsi-Inkeri,Paaritsa,1,1,1,1,Paaritsa (1),Paaritsa (1)
Länsi-Inkeri,Peippiä,1,1,1,1,Peippiä (1),Peippiä-n (1)
Länsi-Inkeri,Peipäi,1,1,1,1,Peipäi (1),Peipäi (1)
Länsi-Inkeri,Pekko,1,1,1,1,Pekko (1),Pekko (1)
Länsi-Inkeri,Peni,1,1,1,1,Peni (1),Peni (1)
Länsi-Inkeri,Pentti,1,1,1,1,Pentti (1),Pentti (1)
Länsi-Inkeri,Petja,1,1,1,1,Petja (1),Petja (1)
Länsi-Inkeri,Piettilä,1,1,1,1,Piettilä (1),Piettilää (1)
Länsi-Inkeri,Piettula,1,1,1,1,Piettula (1),Piettula (1)
Länsi-Inkeri,Piippo,1,1,1,1,Piippo (1),Piippo (1)
Länsi-Inkeri,Pirjo,1,1,1,1,Pirjo (1),Piri (1)
Länsi-Inkeri,Pirketta,1,1,1,1,Pirketta (1),Piretta (1)
Länsi-Inkeri,Poola,1,1,1,1,Poola (1),Poola (1)
Länsi-Inkeri,Portsu,1,1,1,1,Portsu (1),Portsu (1)
Länsi-Inkeri,Puolai (name),1,1,1,1,Puolai (name) (1),Puolai (1)
Länsi-Inkeri,Päivätar,1,1,1,1,Päivätar (1),Päivätar (1)
Länsi-Inkeri,Päivätär,1,1,1,1,Päivätär (1),Päivätär (1)
Länsi-Inkeri,Pärspää,1,1,1,1,Pärspää (1),Pärspää (1)
Länsi-Inkeri,Ransu,1,1,1,1,Ransu (1),Ransu (1)
Länsi-Inkeri,Riio,1,1,1,1,Riio (1),Riio (1)
Länsi-Inkeri,Rokka-Tuomas,1,1,1,1,Rokka-Tuomas (1),Rokka-Tuomas (1)
Länsi-Inkeri,Saani,1,1,1,1,Saani (1),Saani (1)
Länsi-Inkeri,Sakkia,1,1,1,1,Sakkia (1),sakkian (1)
Länsi-Inkeri,Sako,1,1,1,1,Sako (1),Sako (1)
Länsi-Inkeri,Salme,1,1,1,1,Salme (1),Salme (1)
Länsi-Inkeri,Senihhalle,1,1,1,1,Senihhalle (1),senihhalle (1)
Länsi-Inkeri,Senno,1,1,1,1,Senno (1),Senno (1)
Länsi-Inkeri,Simoserra,1,1,1,1,Simoserra (1),Simoserra (1)
Länsi-Inkeri,Sipi,1,1,1,1,Sipi (1),Sipi (1)
Länsi-Inkeri,Soria,1,1,1,1,Soria (1),Soria (1)
Länsi-Inkeri,Suija,1,1,1,1,Suija (1),Suija (1)
Länsi-Inkeri,Suli,1,1,1,1,Suli (1),suli (1)
Länsi-Inkeri,Säätinö,1,1,1,1,Säätinö (1),Säätinö (1)
Länsi-Inkeri,Taari,1,1,1,1,Taari (1),Taari (1)
Länsi-Inkeri,Tallen,1,1,1,1,Tallen (1),Tallen (1)
Länsi-Inkeri,Tanoinmartti,1,1,1,1,Tanoinmartti (1),Tanoinmartti (1)
Länsi-Inkeri,Tanu,1,1,1,1,Tanu (1),Tanu (1)
Länsi-Inkeri,Tapio,1,1,1,1,Tapio (1),Taprio (1)
Länsi-Inkeri,Tatja,1,1,1,1,Tatja (1),Tatja (1)
Länsi-Inkeri,Teesu,1,1,1,1,Teesu (1),Teesu (1)
Länsi-Inkeri,Tehvana,1,1,1,1,Tehvana (1),tehvana (1)
Länsi-Inkeri,Teppo,1,1,1,1,Teppo (1),Teppo (1)
Länsi-Inkeri,Toikkanen,1,1,1,1,Toikkanen (1),Toikkanen (1)
Länsi-Inkeri,Toikko,1,1,1,1,Toikko (1),Toikko (1)
