person_cluster,person_category,same_person_confidence,standard_lemma,local_lemma,word_normalised,root,word_in_english,mentions,poems,counties,county_counts,place_counts
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Andreas (Greek origin),Antti,3,3,3,Etelä-Karjala (1); Pohjois-Pohjanmaa (1); Etelä-Savo (1),Kuolemajärvi (1); Muhos (1); Haukivuori (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Andreas (via Germanic),Antti,3,3,3,Etelä-Karjala (1); Peräpohjola (1); Häme (1),Kirvu (1); Rovaniemi (1); Asikkala (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Andreas (via Swedish),Andrew,3,3,2,Häme (2); Laatokan Karjala (Raja-Karjala) (1),Sortavala (1); Orimattila (1); Korpilahti (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,Antti (loan),Antti,3,2,2,Etelä-Karjala (2); Pohjois-Karjala (1),Lavansaari (1); Seiskari (1); Eno (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Antti,[Repeated],Antti,3,1,1,Itä- ja Pohjois-Inkeri (3),Vuole (3)
Andrew / Antti,given_name_family_or_saint,medium,Antti,Antti,Anttia,Antti,Antti (obj.),3,3,3,Etelä-Karjala (1); Satakunta (1); Pohjois-Savo (1),Pyhäjärvi Vpl. (1); Kauvatsa (1); Leppävirta (1)
Andrew / Antti,given_name_family_or_saint,medium,Antti,antti,Antti,Antti,Antti,3,3,3,Etelä-Savo (1); Etelä-Pohjanmaa (1); Länsi-Inkeri (1),Kerimäki (1); Veteli (1); Soikkola (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Ann,Ann,,Ann,3,2,1,Pärnumaa (2),Halliste (2)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Ann,Ann,proper name,Ann,3,2,2,Viljandimaa (2); Harjumaa (1),Tarvastu (2); Kose (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Ann,Annele,Ann,to Ann,3,1,1,Saaremaa (3),Muhu (3)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Annin,Annin,Ann (proper noun),Annin,3,1,3,Itä- ja Pohjois-Inkeri (1); Keski-Inkeri (1); Länsi-Inkeri (1),Itä- ja Pohjois-Inkeri (1); Keski-Inkeri (1); Länsi-Inkeri (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Ann,Annõ,Ann,Anna,Ann,3,1,1,Võrumaa (3),Urvaste (3)
Anna / Anne / Ann / Anni,given_name_family,medium,Anna,Anna,Anna,Anna (proper name),Anna,3,3,3,Etelä-Savo (1); Pohjois-Pohjanmaa (1); Laatokan Karjala (Raja-Karjala) (1),Kangasniemi (1); Oulu (1); Laatokan Karjala (Raja-Karjala) (1)
Anna / Anne / Ann / Anni,given_name_family,medium,Anna,Anna,Anna,Proper name,Anna,3,1,1,Harjumaa (3),Jõelähtme (3)
