person_cluster,area_name,category,mentions,poems
Smith / Blacksmith,Puolanka,seppä,3,2
Smith / Blacksmith,Puumala,seppä,2,2
Smith / Blacksmith,Pyhäjärvi Vpl.,seppä,6,5
Smith / Blacksmith,Pylkönmäki,seppä,1,1
Smith / Blacksmith,Pälkjärvi,compound -sepp,1,1
Smith / Blacksmith,Pärnu,Other,1,1
Smith / Blacksmith,Pärnu,compound -sepp,6,4
Smith / Blacksmith,Pärnu,sepp,5,3
Smith / Blacksmith,Pärnu-Jaagupi,sepp,1,1
Smith / Blacksmith,Põltsamaa,compound -sepp,4,2
Smith / Blacksmith,Põltsamaa,sepp,6,5
Smith / Blacksmith,Põlva,sepp,4,2
Smith / Blacksmith,Pöide,compound -sepp,3,2
Smith / Blacksmith,Pöide,sepp,7,4
Smith / Blacksmith,Pöytyä,Other,1,1
Smith / Blacksmith,Pöytyä,seppä,16,4
Smith / Blacksmith,Pühalepa,Other,1,1
Smith / Blacksmith,Pühalepa,sepp,3,2
Smith / Blacksmith,Rannu,sepp,2,2
Smith / Blacksmith,Rantasalmi,seppo,1,1
Smith / Blacksmith,Rantsila,compound -sepp,3,3
Smith / Blacksmith,Ranua,Other,1,1
Smith / Blacksmith,Ranua,seppä,1,1
Smith / Blacksmith,Rapla,Other,1,1
Smith / Blacksmith,Rapla,sepp,4,2
Smith / Blacksmith,Rautavaara,seppä,2,2
Smith / Blacksmith,Rautjärvi,seppä,3,3
Smith / Blacksmith,Rautu,seppä,7,4
Smith / Blacksmith,Repola,seppä,18,8
Smith / Blacksmith,Repola,takoja,1,1
Smith / Blacksmith,Ridala,Other,1,1
Smith / Blacksmith,Ridala,compound -sepp,2,1
Smith / Blacksmith,Ridala,sepp,2,2
Smith / Blacksmith,Risti,Other,1,1
Smith / Blacksmith,Risti,compound -sepp,1,1
Smith / Blacksmith,Risti,sepp,11,5
Smith / Blacksmith,Ristijärvi,seppä,1,1
Smith / Blacksmith,Rovaniemi,seppä,1,1
Smith / Blacksmith,Ruameška,seppä,1,1
Smith / Blacksmith,Ruokolahti,seppä,1,1
Smith / Blacksmith,Ruskeala,seppä,1,1
Smith / Blacksmith,Rymättylä,compound -sepp,1,1
Smith / Blacksmith,Räisälä,seppä,9,3
Smith / Blacksmith,Räpina,compound -sepp,1,1
Smith / Blacksmith,Räpina,sepp,2,1
Smith / Blacksmith,Rääkkylä,seppä,5,4
Smith / Blacksmith,Rõngu,Other,1,1
Smith / Blacksmith,Rõngu,compound -sepp,2,2
Smith / Blacksmith,Rõngu,sepp,7,5
Smith / Blacksmith,Saarde,Other,3,3
Smith / Blacksmith,Saarde,compound -sepp,5,3
Smith / Blacksmith,Saarde,sepp,11,7
Smith / Blacksmith,Saarijärvi,compound -sepp,3,3
Smith / Blacksmith,Saarijärvi,seppä,7,5
Smith / Blacksmith,Sahalahti,seppä,3,3
Smith / Blacksmith,Sakkola,seppä,5,5
Smith / Blacksmith,Sakkola,takoja,1,1
Smith / Blacksmith,Salmi,Other,3,1
Smith / Blacksmith,Salmi,compound -sepp,1,1
Smith / Blacksmith,Salmi,seppo,18,1
Smith / Blacksmith,Salmi,seppä,15,6
Smith / Blacksmith,Salo,Other,1,1
Smith / Blacksmith,Salo,seppä,5,2
Smith / Blacksmith,Sammatti,seppä,4,1
Smith / Blacksmith,Sandova,seppä,2,2
Smith / Blacksmith,Sangaste,Other,1,1
Smith / Blacksmith,Sangaste,compound -sepp,3,3
Smith / Blacksmith,Sangaste,sepp,2,2
Smith / Blacksmith,Sauvo,Other,1,1
Smith / Blacksmith,Sauvo,seppä,3,1
Smith / Blacksmith,Savitaipale,seppä,1,1
Smith / Blacksmith,Savukoski,seppä,1,1
Smith / Blacksmith,Seiskari,Other,1,1
Smith / Blacksmith,Seiskari,compound -sepp,2,2
Smith / Blacksmith,Seiskari,seppä,1,1
Smith / Blacksmith,Serepetta,Other,2,1
Smith / Blacksmith,Serepetta,compound -sepp,2,1
Smith / Blacksmith,Serepetta,seppä,31,13
Smith / Blacksmith,Setumaa,Other,3,2
Smith / Blacksmith,Setumaa,compound -sepp,6,4
Smith / Blacksmith,Setumaa,sepp,15,6
Smith / Blacksmith,Sievi,seppä,1,1
Smith / Blacksmith,Siikainen,seppä,3,1
Smith / Blacksmith,Siilinjärvi,seppä,2,2
Smith / Blacksmith,Simuna,Other,1,1
Smith / Blacksmith,Simuna,compound -sepp,5,1
Smith / Blacksmith,Simuna,sepp,2,1
Smith / Blacksmith,Sippola,seppä,1,1
Smith / Blacksmith,Skuoritsa,seppo,4,1
Smith / Blacksmith,Skuoritsa,seppä,4,2
Smith / Blacksmith,Skuoritsa,takoja,1,1
Smith / Blacksmith,Soanlahti,compound -sepp,2,2
Smith / Blacksmith,Soanlahti,seppä,2,1
Smith / Blacksmith,Soikkola,Other,14,10
Smith / Blacksmith,Soikkola,compound -sepp,7,5
Smith / Blacksmith,Soikkola,seppo,1,1
Smith / Blacksmith,Soikkola,seppä,102,40
Smith / Blacksmith,Soikkola,takoja,9,5
Smith / Blacksmith,Soini,seppä,1,1
Smith / Blacksmith,Somero,seppä,4,2
Smith / Blacksmith,Sonkajärvi,seppä,1,1
Smith / Blacksmith,Sortavala,seppä,1,1
Smith / Blacksmith,Sotkamo,seppä,1,1
Smith / Blacksmith,Soutjärvi,Other,1,1
Smith / Blacksmith,Soutjärvi,seppä,4,2
Smith / Blacksmith,Spankkova,seppä,17,2
Smith / Blacksmith,Spiirova,compound -sepp,1,1
Smith / Blacksmith,Spiirova,seppä,1,1
Smith / Blacksmith,Suistamo,Other,4,4
Smith / Blacksmith,Suistamo,compound -sepp,3,3
Smith / Blacksmith,Suistamo,seppo,1,1
Smith / Blacksmith,Suistamo,seppä,51,30
Smith / Blacksmith,Suistamo,takoja,1,1
Smith / Blacksmith,Sulkava,seppä,1,1
Smith / Blacksmith,Suojärvi,Other,9,7
Smith / Blacksmith,Suojärvi,compound -sepp,5,3
Smith / Blacksmith,Suojärvi,seppo,50,13
Smith / Blacksmith,Suojärvi,seppä,64,28
Smith / Blacksmith,Suojärvi,takoja,8,3
Smith / Blacksmith,Suomenniemi,seppä,3,1
Smith / Blacksmith,Suomusjärvi,seppä,1,1
Smith / Blacksmith,Suomussalmi,compound -sepp,1,1
Smith / Blacksmith,Suomussalmi,seppä,11,3
Smith / Blacksmith,Suure-Jaani,Other,1,1
Smith / Blacksmith,Suure-Jaani,compound -sepp,3,2
Smith / Blacksmith,Sysmä,seppä,3,2
Smith / Blacksmith,Säkkijärvi,seppä,1,1
Smith / Blacksmith,Säräisniemi,seppä,3,3
Smith / Blacksmith,Sääminki,compound -sepp,1,1
Smith / Blacksmith,Säämäjärvi,seppo,9,2
Smith / Blacksmith,Säämäjärvi,seppä,3,2
Smith / Blacksmith,Taivassalo,seppä,7,2
Smith / Blacksmith,Tammela,Other,1,1
Smith / Blacksmith,Tammela,compound -sepp,1,1
Smith / Blacksmith,Tammela,seppä,16,7
Smith / Blacksmith,Tampere,seppä,1,1
Smith / Blacksmith,Tartu-Maarja,compound -sepp,2,1
Smith / Blacksmith,Tartu-Maarja,sepp,1,1
Smith / Blacksmith,Tarvastu,Other,1,1
Smith / Blacksmith,Tarvastu,compound -sepp,6,4
Smith / Blacksmith,Tarvastu,sepp,15,7
Smith / Blacksmith,Terijoki,seppä,3,1
Smith / Blacksmith,Tervo,seppä,1,1
Smith / Blacksmith,Tohmajärvi,seppä,2,1
Smith / Blacksmith,Toksova,compound -sepp,1,1
Smith / Blacksmith,Toksova,seppä,18,9
Smith / Blacksmith,Toksova,takoja,2,1
Smith / Blacksmith,Tolmačču,seppä,2,2
Smith / Blacksmith,Tori,sepp,5,4
Smith / Blacksmith,Torma,compound -sepp,1,1
Smith / Blacksmith,Torma,sepp,2,1
Smith / Blacksmith,Tulemajärvi,Other,1,1
Smith / Blacksmith,Tulemajärvi,seppä,17,6
Smith / Blacksmith,Turku,seppä,5,1
Smith / Blacksmith,Turtola,compound -sepp,2,1
Smith / Blacksmith,Turtola,seppä,2,2
Smith / Blacksmith,Tuulos,seppä,7,3
Smith / Blacksmith,Tuupovaara,seppä,4,2
Smith / Blacksmith,Tuusniemi,seppä,1,1
Smith / Blacksmith,Tuutari,compound -sepp,1,1
Smith / Blacksmith,Tyrväntö,seppä,2,1
Smith / Blacksmith,Tyrvää,compound -sepp,2,2
Smith / Blacksmith,Tyrvää,seppä,10,3
Smith / Blacksmith,Tyrö,Other,1,1
Smith / Blacksmith,Tyrö,compound -sepp,2,2
Smith / Blacksmith,Tyrö,seppo,5,2
Smith / Blacksmith,Tyrö,seppä,18,13
Smith / Blacksmith,Tyrö,takoja,2,2
Smith / Blacksmith,Tõstamaa,Other,2,1
Smith / Blacksmith,Tõstamaa,compound -sepp,6,3
Smith / Blacksmith,Tõstamaa,sepp,1,1
Smith / Blacksmith,Töysä,compound -sepp,1,1
Smith / Blacksmith,Töysä,seppä,3,2
Smith / Blacksmith,Türi,compound -sepp,4,2
Smith / Blacksmith,Uhtua,seppä,1,1
Smith / Blacksmith,Urjala,seppä,4,1
Smith / Blacksmith,Urvaste,Other,2,2
Smith / Blacksmith,Urvaste,compound -sepp,6,3
Smith / Blacksmith,Urvaste,sepp,4,3
Smith / Blacksmith,Uskela,Other,3,3
Smith / Blacksmith,Uskela,compound -sepp,7,7
Smith / Blacksmith,Uskela,seppä,25,14
Smith / Blacksmith,Uukuniemi,Other,1,1
Smith / Blacksmith,Uukuniemi,compound -sepp,1,1
Smith / Blacksmith,Uukuniemi,seppä,2,2
Smith / Blacksmith,Uusikaupunki,Other,1,1
Smith / Blacksmith,Uusikaupunki,seppä,7,6
Smith / Blacksmith,Uusikirkko Tl.,seppä,1,1
Smith / Blacksmith,Vaivara,Other,2,1
Smith / Blacksmith,Vaivara,compound -sepp,2,2
Smith / Blacksmith,Vaivara,sepp,8,5
Smith / Blacksmith,Valkeasaari,seppä,3,2
Smith / Blacksmith,Valtimo,seppä,1,1
Smith / Blacksmith,Vanaja,seppä,2,1
Smith / Blacksmith,Varbla,compound -sepp,6,3
Smith / Blacksmith,Varbla,sepp,2,1
Smith / Blacksmith,Varkaus,seppä,4,2
Smith / Blacksmith,Vastseliina,sepp,3,1
Smith / Blacksmith,Vehmaa,seppä,1,1
Smith / Blacksmith,Venjoki,compound -sepp,3,3
Smith / Blacksmith,Venjoki,seppo,1,1
Smith / Blacksmith,Venjoki,seppä,16,11
Smith / Blacksmith,Venjoki,takoja,2,2
Smith / Blacksmith,Vesilahti,seppä,4,3
Smith / Blacksmith,Veteli,seppä,1,1
Smith / Blacksmith,Veśśi,seppä,1,1
Smith / Blacksmith,Vieljärvi,seppo,2,1
Smith / Blacksmith,Vieljärvi,seppä,18,4
Smith / Blacksmith,Vigala,compound -sepp,1,1
Smith / Blacksmith,Vigala,sepp,1,1
Smith / Blacksmith,Vihanti,compound -sepp,1,1
Smith / Blacksmith,Vihti,seppä,2,2
Smith / Blacksmith,Viipuri,seppä,1,1
Smith / Blacksmith,Viitasaari,seppä,2,1
Smith / Blacksmith,Viljakkala,seppä,5,1
Smith / Blacksmith,Viljandi,Other,1,1
Smith / Blacksmith,Viljandi,compound -sepp,7,6
