person_cluster,variant_by_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Martin / Mart / Märt,Mard/Mardi,Ingria,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Mard/Mardi,Other/unclear,0,0.0,0.0
Martin / Mart / Märt,Märti,Estonia core/west,138,0.03939480445332572,1.0
Martin / Mart / Märt,Märti,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Märti,Finland/Savo-Karelia,0,0.0,0.0
Martin / Mart / Märt,Märti,Ingria,0,0.0,0.0
Martin / Mart / Märt,Märti,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Märti,Other/unclear,0,0.0,0.0
Martin / Mart / Märt,Martti,Estonia core/west,0,0.0,0.0
Martin / Mart / Märt,Martti,South Estonia/Seto,0,0.0,0.0
Martin / Mart / Märt,Martti,Finland/Savo-Karelia,39,0.011133314302026834,0.7358490566037735
Martin / Mart / Märt,Martti,Ingria,13,0.003711104767342278,0.24528301886792453
Martin / Mart / Märt,Martti,East Karelia/Veps/Tver,1,0.00028546959748786756,0.018867924528301886
Martin / Mart / Märt,Martti,Other/unclear,0,0.0,0.0
Martin / Mart / Märt,Other,Estonia core/west,1582,0.45161290322580644,0.9605343047965998
Martin / Mart / Märt,Other,South Estonia/Seto,25,0.007136739937196689,0.015179113539769277
Martin / Mart / Märt,Other,Finland/Savo-Karelia,1,0.00028546959748786756,0.0006071645415907711
Martin / Mart / Märt,Other,Ingria,0,0.0,0.0
Martin / Mart / Märt,Other,East Karelia/Veps/Tver,0,0.0,0.0
Martin / Mart / Märt,Other,Other/unclear,39,0.011133314302026834,0.023679417122040074
Catherine / Kadri / Katri,Kadri,Estonia core/west,771,0.355463347164592,0.8633818589025756
Catherine / Kadri / Katri,Kadri,South Estonia/Seto,95,0.0437989857076994,0.10638297872340426
Catherine / Kadri / Katri,Kadri,Finland/Savo-Karelia,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,Ingria,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,East Karelia/Veps/Tver,0,0.0,0.0
Catherine / Kadri / Katri,Kadri,Other/unclear,27,0.012448132780082987,0.030235162374020158
Catherine / Kadri / Katri,Katri,Estonia core/west,200,0.09220839096357769,0.5376344086021505
Catherine / Kadri / Katri,Katri,South Estonia/Seto,22,0.010142923005993546,0.05913978494623656
Catherine / Kadri / Katri,Katri,Finland/Savo-Karelia,40,0.018441678192715538,0.10752688172043011
Catherine / Kadri / Katri,Katri,Ingria,90,0.04149377593360996,0.24193548387096775
Catherine / Kadri / Katri,Katri,East Karelia/Veps/Tver,20,0.009220839096357769,0.053763440860215055
Catherine / Kadri / Katri,Katri,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Estonia core/west,1,0.0004610419548178884,0.0045662100456621
Catherine / Kadri / Katri,Kaisa,South Estonia/Seto,0,0.0,0.0
Catherine / Kadri / Katri,Kaisa,Finland/Savo-Karelia,141,0.06500691562932227,0.6438356164383562
Catherine / Kadri / Katri,Kaisa,Ingria,56,0.02581834946980175,0.2557077625570776
Catherine / Kadri / Katri,Kaisa,East Karelia/Veps/Tver,18,0.008298755186721992,0.0821917808219178
Catherine / Kadri / Katri,Kaisa,Other/unclear,3,0.0013831258644536654,0.0136986301369863
Catherine / Kadri / Katri,Kati,Estonia core/west,2,0.0009220839096357768,0.020202020202020204
Catherine / Kadri / Katri,Kati,South Estonia/Seto,4,0.0018441678192715537,0.04040404040404041
Catherine / Kadri / Katri,Kati,Finland/Savo-Karelia,4,0.0018441678192715537,0.04040404040404041
Catherine / Kadri / Katri,Kati,Ingria,87,0.040110650069156296,0.8787878787878788
Catherine / Kadri / Katri,Kati,East Karelia/Veps/Tver,0,0.0,0.0
Catherine / Kadri / Katri,Kati,Other/unclear,2,0.0009220839096357768,0.020202020202020204
Catherine / Kadri / Katri,Katariina/Katriina,Estonia core/west,5,0.002305209774089442,0.09259259259259259
Catherine / Kadri / Katri,Katariina/Katriina,South Estonia/Seto,2,0.0009220839096357768,0.037037037037037035
Catherine / Kadri / Katri,Katariina/Katriina,Finland/Savo-Karelia,17,0.007837713231904103,0.3148148148148148
Catherine / Kadri / Katri,Katariina/Katriina,Ingria,25,0.011526048870447211,0.46296296296296297
Catherine / Kadri / Katri,Katariina/Katriina,East Karelia/Veps/Tver,5,0.002305209774089442,0.09259259259259259
Catherine / Kadri / Katri,Katariina/Katriina,Other/unclear,0,0.0,0.0
Catherine / Kadri / Katri,Other,Estonia core/west,353,0.16274781005071462,0.6635338345864662
Catherine / Kadri / Katri,Other,South Estonia/Seto,117,0.05394190871369295,0.2199248120300752
Catherine / Kadri / Katri,Other,Finland/Savo-Karelia,39,0.017980636237897647,0.07330827067669173
Catherine / Kadri / Katri,Other,Ingria,13,0.00599354541263255,0.02443609022556391
Catherine / Kadri / Katri,Other,East Karelia/Veps/Tver,9,0.004149377593360996,0.016917293233082706
Catherine / Kadri / Katri,Other,Other/unclear,1,0.0004610419548178884,0.0018796992481203006
Anna / Anne / Ann / Anni,Anne,Estonia core/west,663,0.29297392841361025,0.9364406779661016
Anna / Anne / Ann / Anni,Anne,South Estonia/Seto,27,0.011931064958020326,0.038135593220338986
Anna / Anne / Ann / Anni,Anne,Finland/Savo-Karelia,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,Ingria,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,East Karelia/Veps/Tver,0,0.0,0.0
Anna / Anne / Ann / Anni,Anne,Other/unclear,18,0.007954043305346884,0.025423728813559324
Anna / Anne / Ann / Anni,Anni,Estonia core/west,12,0.005302695536897923,0.023483365949119372
Anna / Anne / Ann / Anni,Anni,South Estonia/Seto,4,0.0017675651789659744,0.007827788649706457
Anna / Anne / Ann / Anni,Anni,Finland/Savo-Karelia,199,0.08793636765355722,0.38943248532289626
Anna / Anne / Ann / Anni,Anni,Ingria,156,0.068935041979673,0.30528375733855184
Anna / Anne / Ann / Anni,Anni,East Karelia/Veps/Tver,137,0.06053910737958462,0.26810176125244617
Anna / Anne / Ann / Anni,Anni,Other/unclear,3,0.0013256738842244808,0.005870841487279843
Anna / Anne / Ann / Anni,Ann,Estonia core/west,385,0.17012814847547503,0.8690744920993227
Anna / Anne / Ann / Anni,Ann,South Estonia/Seto,39,0.01723376049491825,0.08803611738148984
Anna / Anne / Ann / Anni,Ann,Finland/Savo-Karelia,0,0.0,0.0
Anna / Anne / Ann / Anni,Ann,Ingria,3,0.0013256738842244808,0.006772009029345372
Anna / Anne / Ann / Anni,Ann,East Karelia/Veps/Tver,1,0.0004418912947414936,0.002257336343115124
Anna / Anne / Ann / Anni,Ann,Other/unclear,15,0.006628369421122404,0.033860045146726865
Anna / Anne / Ann / Anni,Anna,Estonia core/west,21,0.009279717189571365,0.3088235294117647
Anna / Anne / Ann / Anni,Anna,South Estonia/Seto,1,0.0004418912947414936,0.014705882352941176
Anna / Anne / Ann / Anni,Anna,Finland/Savo-Karelia,40,0.017675651789659744,0.5882352941176471
Anna / Anne / Ann / Anni,Anna,Ingria,2,0.0008837825894829872,0.029411764705882353
Anna / Anne / Ann / Anni,Anna,East Karelia/Veps/Tver,4,0.0017675651789659744,0.058823529411764705
Anna / Anne / Ann / Anni,Anna,Other/unclear,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Estonia core/west,25,0.01104728236853734,0.6756756756756757
