feature_rank_by_size,semantic_name_group,standard_lemma,standard_lemma_map_category,mentions,overall_share,is_top_map_variant
1,Mary / Maria / Maarja / Mari,varis-maija,Other,1,0.0002583311805734952,False
2,Martin / Mart / Märt,Märt,Märt,884,0.3022222222222222,True
2,Martin / Mart / Märt,Mart,Mart,507,0.17333333333333334,True
2,Martin / Mart / Märt,mart,mart,353,0.12068376068376069,True
2,Martin / Mart / Märt,mard,mard,255,0.08717948717948718,True
2,Martin / Mart / Märt,märt,märt,191,0.0652991452991453,True
2,Martin / Mart / Märt,Mard,Mard,163,0.055726495726495726,True
2,Martin / Mart / Märt,Märti,Märti,138,0.04717948717948718,True
2,Martin / Mart / Märt,marti,marti,55,0.018803418803418803,True
2,Martin / Mart / Märt,märti,Other,51,0.017435897435897435,False
2,Martin / Mart / Märt,Martti,Other,49,0.016752136752136753,False
2,Martin / Mart / Märt,Mardi,Other,34,0.011623931623931624,False
2,Martin / Mart / Märt,mardisand,Other,27,0.009230769230769232,False
2,Martin / Mart / Märt,mardisandid,Other,14,0.004786324786324786,False
2,Martin / Mart / Märt,mardikene,Other,11,0.0037606837606837607,False
2,Martin / Mart / Märt,mardikas,Other,10,0.003418803418803419,False
2,Martin / Mart / Märt,mardike,Other,10,0.003418803418803419,False
2,Martin / Mart / Märt,Marti,Other,9,0.003076923076923077,False
2,Martin / Mart / Märt,märd,Other,9,0.003076923076923077,False
2,Martin / Mart / Märt,mardisant,Other,8,0.002735042735042735,False
2,Martin / Mart / Märt,Mardis,Other,7,0.002393162393162393,False
2,Martin / Mart / Märt,Märten,Other,6,0.0020512820512820513,False
2,Martin / Mart / Märt,Märtisand,Other,5,0.0017094017094017094,False
2,Martin / Mart / Märt,mardi,Other,5,0.0017094017094017094,False
2,Martin / Mart / Märt,mardid,Other,5,0.0017094017094017094,False
2,Martin / Mart / Märt,pääsuke,Other,5,0.0017094017094017094,False
2,Martin / Mart / Märt,Mardus,Other,4,0.0013675213675213675,False
2,Martin / Mart / Märt,Martin,Other,4,0.0013675213675213675,False
2,Martin / Mart / Märt,Märtisant,Other,4,0.0013675213675213675,False
2,Martin / Mart / Märt,mardipäev,Other,4,0.0013675213675213675,False
2,Martin / Mart / Märt,märdisand,Other,4,0.0013675213675213675,False
2,Martin / Mart / Märt,Mardi (prop.name),Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,Mardisand,Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,Mardisandid,Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,Mardisant,Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,Märdi,Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,sandi,Other,3,0.0010256410256410256,False
2,Martin / Mart / Märt,Juhanimartin,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,Mard (proper noun),Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,Mardil,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,Mart (proper noun),Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,Märtile,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,Talli-Märt,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,mardisant & mardisandid,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,martinkello,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,märdike,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,märgid,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,märtisand,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,märtisant,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,märtsant,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,sandimardi,Other,2,0.0006837606837606838,False
2,Martin / Mart / Märt,(proper name),Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Järva-Märt,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Mardike,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Mardile,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Mardipäev,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Mardu,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Marti (proper name),Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Martike,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Martta,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märdikene,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märt/mäger,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märteni,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märtenil,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märti (proper noun),Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Märtike,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Pajumardi,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Sandi-Mardi,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Sepamardi,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Taanun Martti,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,Tasa-Martin,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,kõrsi-Märt,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,magu_kene,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,maja,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mard+sand,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardiema,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardilaps,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardimees,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardipääh,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardisandike,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardiõhtu,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mardmees,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,mart & sand,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,martisand,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,marttiaika,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,märdi,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,märdi+sänd,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,märdisandid,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,märtipäev,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,märts,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,räpäsky,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,sand&mart,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,sandid,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,sandimard,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,sandimart,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,sant,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,tasa & martti,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,tasamartti,Other,1,0.0003418803418803419,False
2,Martin / Mart / Märt,vana-Märt,Other,1,0.0003418803418803419,False
3,John / Jaan / Jussi / Hans,Jaan,Jaan,760,0.28368794326241137,True
3,John / Jaan / Jussi / Hans,Jussi,Jussi,582,0.21724524076147816,True
3,John / Jaan / Jussi / Hans,Hans,Hans,370,0.13811123553564764,True
3,John / Jaan / Jussi / Hans,Ants,Ants,234,0.08734602463605823,True
3,John / Jaan / Jussi / Hans,jaan,jaan,125,0.04665920119447555,True
3,John / Jaan / Jussi / Hans,jaanike,jaanike,88,0.032848077640910786,True
3,John / Jaan / Jussi / Hans,Juhan,Juhan,72,0.026875699888017916,True
3,John / Jaan / Jussi / Hans,Jaani,Jaani,36,0.013437849944008958,True
3,John / Jaan / Jussi / Hans,Jaanike,Other,34,0.01269130272489735,False
3,John / Jaan / Jussi / Hans,jaanikene,Other,25,0.00933184023889511,False
3,John / Jaan / Jussi / Hans,Johannes,Other,16,0.0059723777528928705,False
3,John / Jaan / Jussi / Hans,jaanilill,Other,15,0.005599104143337066,False
3,John / Jaan / Jussi / Hans,hansuke,Other,14,0.005225830533781261,False
3,John / Jaan / Jussi / Hans,Juss,Other,13,0.0048525569242254575,False
3,John / Jaan / Jussi / Hans,Jaanikene,Other,12,0.004479283314669653,False
3,John / Jaan / Jussi / Hans,Iivana,Other,11,0.004106009705113848,False
3,John / Jaan / Jussi / Hans,jaanikann,Other,11,0.004106009705113848,False
3,John / Jaan / Jussi / Hans,jaanituli,Other,11,0.004106009705113848,False
3,John / Jaan / Jussi / Hans,kooli-Jaani,Other,11,0.004106009705113848,False
3,John / Jaan / Jussi / Hans,hans,Other,8,0.0029861888764464353,False
3,John / Jaan / Jussi / Hans,Juhana,Other,7,0.0026129152668906306,False
3,John / Jaan / Jussi / Hans,Juhani,Other,7,0.0026129152668906306,False
3,John / Jaan / Jussi / Hans,Tua-Jaan,Other,6,0.0022396416573348264,False
3,John / Jaan / Jussi / Hans,jaanuke,Other,5,0.001866368047779022,False
3,John / Jaan / Jussi / Hans,Antsu,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,Antsuke,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,Jaanituli,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,jaani,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,jaanikuu,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,jaaniõhtu,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,juhannes,Other,4,0.0014930944382232176,False
3,John / Jaan / Jussi / Hans,Hansuke,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Hansupoeg,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Hants,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Juhanile,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Juhanpoeg,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Toa-Jaan,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,ants,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,hants,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,jaanikivi,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,jaanikutuli,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,jaanipäev,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,kukkojussi,Other,3,0.0011198208286674132,False
3,John / Jaan / Jussi / Hans,Antsmõisa,Other,2,0.0007465472191116088,False
3,John / Jaan / Jussi / Hans,Hansu,Other,2,0.0007465472191116088,False
3,John / Jaan / Jussi / Hans,Hansukene,Other,2,0.0007465472191116088,False
3,John / Jaan / Jussi / Hans,Harju-Jaani,Other,2,0.0007465472191116088,False
3,John / Jaan / Jussi / Hans,Jaan & kann,Other,2,0.0007465472191116088,False
3,John / Jaan / Jussi / Hans,Jaanipäev,Other,2,0.0007465472191116088,False
