area_name,Ilmarinen::Ilmarinen,Ilmarinen::Ilmari/Ilmar,Väinämöinen::Väinämöinen,Väinämöinen::Väinö/Väinämö,Lemminkäinen::Lemminkäinen,Lemminkäinen::Lemmingäinen/Lemming,Jesus / Christ::Jesus,Jesus / Christ::Christ,Mary / Maria / Maarja / Mari::Mary,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maria/Maaria,John / Jaan / Jussi / Hans::Jussi,John / Jaan / Jussi / Hans::Jaan/Jaani,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::John/St John,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Juhan,Peter / Pietari / Peeter::Peter,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka/Pekko,Peter / Pietari / Peeter::Petteri/Pietari,Martin / Mart / Märt::Martin,Martin / Mart / Märt::Mart/Marti,Martin / Mart / Märt::Märt/Märti,Martin / Mart / Märt::Mardi/Mard,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri/Katrina,Catherine / Kadri / Katri::Kaisa/Kaie,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Catherine/Katherine,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anni/Annie,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Tõstamaa,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,105
Töysä,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,5,23
Türi,,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,88
Uhtua,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0,0,0,0,1,0,0,East Karelia/Veps/Tver,Karelian Proper,ka,9,45
Urvaste,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,South Estonia/Seto,South Estonian,viE,7,195
Uskela,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,6,56
Uukuniemi,1,0,1,0,,,1,0,1,0,0,0,,,,,,,1,0,0,0,,,,,0,0,0,0,1,,,,,,East Karelia/Veps/Tver,Finnish,su,6,31
Uusikaupunki,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,23
Uusikirkko Tl.,,,,,1,0,,,0,0,1,0,,,,,,,1,0,0,0,,,,,0,0,1,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,4,10
Vaivara,,,,,,,,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,62
Valtimo,,,1,0,,,1,0,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,5,13
Varbla,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,107
Varpaisjärvi,,,1,0,,,1,0,1,0,0,0,,,,,,,0,0,1,0,,,,,,,,,,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,5,15
Vastseliina,,,,,,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,0,1,0,0,0,1,0,0,0,0,South Estonia/Seto,South Estonian,viE,6,119
Venjoki,1,0,1,0,,,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,0,1,0,0,0,Ingria,Finnish,su,8,59
Vesilahti,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,4,10
Vieljärvi,1,0,1,0,,,,,1,0,0,0,,,,,,,1,0,0,0,,,,,,,,,,0,0,1,0,0,East Karelia/Veps/Tver,Livvi-Karelian,kaA,5,25
Vigala,,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,7,153
Vihanti,1,0,,,,,1,0,1,0,0,0,,,,,,,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,11
Viitasaari,,,,,,,,,0,0,1,0,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,4,12
Viljandi,,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,326
Virrat,,,,,,,1,0,0,0,1,0,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,4,11
Virtasalmi,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,0,1,0,0,0,1,0,Finland/Savo-Karelia,Finnish,su,6,16
Viru-Jaagupi,,,,,,,,,0,1,0,0,0,1,0,0,0,0,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,5,71
Viru-Nigula,,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,121
Vuokkiniemi,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0,1,0,0,East Karelia/Veps/Tver,Karelian Proper,ka,8,140
Vuole,,,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Ingria,Finnish,su,9,108
Väike-Maarja,,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,7,166
Vändra,,,,,,,1,0,0,1,0,0,0,0,1,0,0,0,,,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,159
Võnnu,,,,,,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Estonia core/west,South Estonian,viE,6,106
Yläne,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,1,0,0,,,,,,Finland/Savo-Karelia,Finnish,su,5,14
Äksi,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Estonia core/west,North Estonian,viP,6,83
Östmark,0,1,1,0,,,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,6,16
