area_name,Ilmarinen::Ilmarinen,Ilmarinen::Other,Väinämöinen::Väinämöinen,Lemminkäinen::Lemminkäinen,Jesus / Christ::Jeesus,Jesus / Christ::Christ/Kristus,Jesus / Christ::Other,Mary / Maria / Maarja / Mari::Mari,Mary / Maria / Maarja / Mari::Maria,Mary / Maria / Maarja / Mari::Maija/Maie,Mary / Maria / Maarja / Mari::Maarja,Mary / Maria / Maarja / Mari::Maaria,Mary / Maria / Maarja / Mari::Other,John / Jaan / Jussi / Hans::Jaan,John / Jaan / Jussi / Hans::Jussi/Juss,John / Jaan / Jussi / Hans::Hans,John / Jaan / Jussi / Hans::Ants,John / Jaan / Jussi / Hans::Iivana,John / Jaan / Jussi / Hans::Other,Peter / Pietari / Peeter::Pietari,Peter / Pietari / Peeter::Peeter,Peter / Pietari / Peeter::Pekka,Peter / Pietari / Peeter::Petteri/Petri,Peter / Pietari / Peeter::Other,Martin / Mart / Märt::Märt,Martin / Mart / Märt::Mart/Martin,Martin / Mart / Märt::Mard/Mardi,Martin / Mart / Märt::Martti,Martin / Mart / Märt::Other,Catherine / Kadri / Katri::Kadri,Catherine / Kadri / Katri::Katri,Catherine / Kadri / Katri::Kaisa,Catherine / Kadri / Katri::Kati,Catherine / Kadri / Katri::Katariina/Katriina,Catherine / Kadri / Katri::Other,Anna / Anne / Ann / Anni::Anne,Anna / Anne / Ann / Anni::Anni,Anna / Anne / Ann / Anni::Ann,Anna / Anne / Ann / Anni::Anna,Anna / Anne / Ann / Anni::Anu,Anna / Anne / Ann / Anni::Other,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Jõhvi,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,169
Jüri,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,57
Kaarma,,,,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,6,38
Kaavi,1,0,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,7,35
Kadrina,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,7,216
Kalajoki,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,31
Kambja,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,6,24
Kanepi,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,South Estonia/Seto,South Estonian,viE,7,31
Kangaslampi,1,0,1,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,5,10
Kangasniemi,,,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,7,24
Kankaanpää,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,4,10
Kaprio,1,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Ingria,Finnish,su,9,104
Karja,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,1,0,0,0,Estonia core/west,North Estonian,viP,4,29
Karksi,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,South Estonian,viE,7,394
Karula,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,South Estonia/Seto,South Estonian,viE,6,106
Karuna,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,4,10
Karuse,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,6,156
Kattila,,,,,1,0,0,0,1,0,0,0,0,,,,,,,0,0,0,0,1,0,0,0,1,0,,,,,,,0,0,0,0,1,0,Ingria,Votic,su,5,21
Kauhava,,,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,5,18
Keila,,,,,,,,1,0,0,0,0,0,,,,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Estonia core/west,North Estonian,viP,5,15
Keltto,1,0,1,,1,0,0,0,1,0,0,0,0,,,,,,,1,0,0,0,0,,,,,,0,1,0,0,0,0,,,,,,,Ingria,Finnish,su,6,11
Kemi,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,0,0,0,0,1,0,,,,,,,Finland/Savo-Karelia,Finnish,su,5,16
Kerimäki,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,7,19
Kestilä,,,1,,1,0,0,0,1,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,1,0,,,,,,,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,6,13
Kesälahti,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,Finland/Savo-Karelia,Finnish,su,7,62
Kiestinki,,,1,,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,,,,,,,0,1,0,0,0,0,East Karelia/Veps/Tver,Karelian Proper,ka,5,27
Kiihtelysvaara,1,0,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,0,0,1,0,,,,,,,Finland/Savo-Karelia,Finnish,su,6,29
Kiimaisjärvi,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,6,37
Kitee,1,0,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,Finland/Savo-Karelia,Finnish,su,8,133
Kiuruvesi,,,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,Finland/Savo-Karelia,Finnish,su,7,50
Kivennapa,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Finland/Savo-Karelia,Finnish,su,7,34
